skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	passivestat7	passivecalc7	passivestat8	passivecalc8	passivestat9	passivecalc9	passivestat10	passivecalc10	passivestat11	passivecalc11	passivestat12	passivecalc12	passivestat13	passivecalc13	passivestat14	passivecalc14	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemUseRestrict	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
Huntress Haste	13	ama	huntress haste		18																			huntresshaste		ln12*(100+(stat('buff_length_modifier'.accr)))/100		item_fastermovevelocity	ln34	item_fasterattackrate	ln56+((blvl==10)?20:0)	tohit	"-dm78"	armorclass	"-dm78"																																																											amazon_handofathena											cast_slowmissiles																						1	0		none												SC	SC	xx																														12	10								1				(100*(ln12+125))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					0	8	16	2	1	1																						250	Base Duration	25	Duration per Level	5	Base Movement Speed	4	Movement Speed Per Level	10	Base Attack Speed	2	Attack Speed Per Level	40	Min Attack Rating / Defence Penalty	250	Max Attack Rating / Defence Penalty									1								8																																				5	20	0
Recharge	14	ama	recharge	6	2																			recharge		75*(100+(stat('buff_length_modifier'.accr)))/100		mana_per_hit	ln12/3	item_tohit_percent	ln34	manarecoverybonus	ln56	lightresist	"-(10+blvl*2)"	item_fasterattackrate	(blvl==10)?50:0																																																																																										1	4		h2h		jave	pole	spea								A1	A1	xx				1		1	1								1															1	10								1						1	1					0	8	0	0	1	1										((20*lvl)+skill('Penetrate'.blvl)*par7)+(stat('ex_attacks'.accr)*10	Damage %					0	% Damage Dealt as Elemental (Used only if there is an Etype)					6	Base Mana Steal	3	Mana Steal Per 3 Levels	20	Attack Rating Bonus	12	Attack Rating Bonus Per Level	200	Base Mana Recovery Bonus	20	Mana Recovery Bonus Per Level	5	Physical Damage Synergy (Penatrate)	10	Damage synergy									1	20	12						7	128														ltng	2	0	0	0	0	0	16	18	36	54	72	90	(((skill(20.blvl)+skill('Lightning Fury'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Poison Point	15	ama	poison point	56	120																			poisonpoint		500*(100+(stat('buff_length_modifier'.accr)))/100		damagepercent	(lvl*par3)+(stat('ex_attacks'.accr)*10)	item_poisonlengthresist	min(lvl*par2,par5)	passive_pois_mastery	lvl*par1+((blvl==20)?50:0)																																																																																														1	0		h2h		jave	pole	spea								A1	A1	xx				1		1	1								1															6	20								1						1	1					1	8	3	0	1	1										0	Damage %	lvl/par7 + par8	# of Max Charges			0	% Damage Dealt as Elemental (Used only if there is an Etype)					2	Poison mastery per level	4	Base Poison Length Reduced	20	Damage % per Charge	250	Duration	75	Poison Length Reduced Max			2	# of Levels needed per max Charge gained	5	# of max Charges Min									1	20	10						1	128														pois	6	5	7	10	24	36	12	5	7	10	32	48	((skill('Plague Javelin'.blvl)*10)*(100+(stat('ex_missiles'.accr)*2))/100)	50	10	10	10				5	20	0
Exploding Arrow	16	ama	exploding arrow	4	18										explodingarrow									explodearrow		((blvl==20)?25:0)*(100+(stat('buff_length_modifier'.accr)))/100		skill_pierce	(blvl==20)?40:0																																																																															11						explodingarrow													1	5	1	rng		miss										A1	A1	xx				1											1															12	20								1						1	1					1	7	10	1	1	1																																				12	Damage synergy									1	20	9						8	128														fire	8	8	15	28	50	63	23	13	23	45	65	75	((skill('Strafe'.blvl)*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Slow Missiles	17	ama	slow missiles																																											slowmiss	V908		item_skillonattack	"max(3+blvl*2,10)"	armorclass_vs_missile	(blvl==10)?250:0																																																																											1	8		none														xx				1																										6	10								1						0	0					0	8	0	0	1	0							1															50	% Velocity of missiles baseline	2	% Velocity of missiles per level	300	Duration baseline	150	Duration per level	20	Radius baseline	0	Radius per level													1								8																																				5	20	0
Huntress Focus	18	ama	huntress focus		18																			huntressfocus		ln12*(100+(stat('buff_length_modifier'.accr)))/100		damagepercent	(ln12+((blvl==10)?20:0))+(stat('ex_attacks'.accr)*10)	tohit	ln34	item_fastermovevelocity	"-dm78"	item_fasterattackrate	"-dm78"																																																											amazon_dodge_1											cast_slowmissiles																						1	0		none												SC	SC	xx																														12	10								1				(100*(ln12+125))/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					0	8	16	2	1	1																						250	Base Duration	25	Duration per Level	20	Damage % Base Line	15	Damage % Per Level	200	Base Attack Rating	75	Attack Rating Per Level	10	Min Movement / Attack Speed penalty	30	Max Movement / Attack Speed Penalty									1								8																																				5	20	0
Impale	19	ama	impale	7	2																			impale				damageresist	ln78																																																																	amazon_impale_1		1	1																														1	6		h2h		jave	pole	spea								SQ	A1	xx	8		1	1		1	1								1															12	20								1						1	1		1			1	8	3	0	1	1										(ln12+(skill('Jab'.blvl)+skill('Fend'.blvl)+skill('Plague Javelin'.blvl)+skill('Lightning Fury'.blvl))*par2)+(stat('ex_attacks'.accr)*10)	Damage %	par6-((blvl==20)?8:0)	Durability loss chance %	par5-((blvl==20)?15:0)	Durability loss amount	0	% Damage Dealt as Elemental (Used only if there is an Etype)					200	Damage % baseline	25	Damage % per level					20	Durability loss amount	10	% chance for Durability loss Base	10	Damage Resistance	2	Damage Resistance Per Level									1	100	25						8	128														mag	12	6	8	16	36	108	24	6	12	20	40	112	(stat(357.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Thunder God's Wrath	20	ama	thunder gods wrath		124													armageddoncontrol2	armageddoncontrol2	armageddoncontrol2				tgods		(ln12 + skill('Recharge'.blvl) * par7)*(100+(stat('buff_length_modifier'.accr)))/100	par3	passive_ltng_pierce	(blvl==20)?15:0																																																																												light_cast_1						92				armageddontail2	armageddonrock2			25	Missile Frames	50	Missile Fall Rate	50	Missile Slide Rate			1	0		none												SC	SC	xx				1	4																									24	20								1				(stat('Celestial_Aid'.accr)>=1)?0:((100*125)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	1	0	1	1																						125	Duration baseline	0	Duration per level	10	Radius	4	Delay between Missiles created					50	Duration synergy	8	Damage synergy									1								8		8	8	12	16	20	24	32	8	14	18	24	28	stat('ex_attacks'.accr)*4	ltng	25	15	20	25	31	38	75	16	22	27	34	40	((stat('Celestial_Aid'.accr)>=1)?200:0+((skill('Lightning Strike'.blvl)+skill('Charged Strike'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Hail of Arrows	21	ama	hail of arrows	28	28													arrowcenter	arrowcenter	arrowcenter				clawmastery		10		item_crushingblow	"-100"																																																																	amazon_valkyrie_cast															28						arrowcenter												1	7		none		miss										A1	A1	xx					4				1											1							amazon_valkyrie_cast			18	20								1				(stat('Celestial_Aid'.accr)>=1)?0:((100*20)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))		1	1					1	8	1	1	1	1										((blvl==20)?par2:par1)	Radius for Area of Effect	((blvl==20)?par4:par3)	Missile Spawn Rate									3	Radius for Area of Effect	6	Radius for Area of Effect at max lvl	6	Missile Spawn Rate	3	Missile Spawn Rate at max lvl							5	Damage synergy									1								5	64														cold	30	9	23	83	100	120	53	14	30	90	105	128	((stat('Celestial_Aid'.accr)>=1)?150:0+((skill('Cold Arrow'.blvl)+skill('Freezing Arrow'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)	100							5	20	0
Guided Arrow	22	ama	guided arrow	32	10													guidedarrow	guidedarrow	guidedarrow																																																																																								11	18						guidedarrow	guidedarrow	guidedarrow										1	4	1	rng		miss										A1	A1	xx				1											1															18	20								1						1	1		1			5	7	15	-1	1	1										(ln34+skill('Multiple Shot'.blvl)*par7)+(stat('ex_attacks'.accr)*10)	Damage %	((blvl==20)?50:0)	Flat Damage Added	blvl*par2	Attack Speed Increase	0	% Damage Dealt as Elemental (Used only if there is an Etype)							2	Attack Speed %	25	Damage % baseline	7	Damage % per level	10	Damage conversion min	75	Damage conversion max	6	Damage Synergy											1								8	128														mag	6	3	6	10	20	35	12	6	8	12	25	40	(stat('passive_mag_mastery'.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Penetrate	23	ama	penetrate																																											penetrate			tohit	par1+(lvl*par2)	item_tohit_percent	(blvl==10)?20:0	manarecoverybonus	par3+(lvl*par4)																																																																									1	1		rng		jave	miss	pole			spea							xx																														12	10								1						0	0					0	8	0	0	1	0							1															100	Attack Rating Baseline	50	Attack Rating Per Level	30	Mana Recovery % baseline	2	Mana Recovery % per level																	1								8																																				5	20	0
Charged Strike	24	ama	charged strike	6	11													chargedstrikebolt	chargedstrikebolt	chargedstrikebolt																																																																																									19						chargedstrikebolt	chargedstrikebolt	chargedstrikebolt										1	5		h2h		jave	pole	spea								A1	A1	xx				1		1	1								1															6	20								1						1	1					1	6	16	1	1	1										(par3+lvl/par4+(min(stat('ex_missiles'.accr),5))+((blvl==20)?4:0)	# of Bolt Missiles created						% Damage Dealt as Elemental (Used only if there is an Etype)									4	# of Charged Bolt Missiles created baseline	3	Charged Bolt Missile created per N levels							10	Damage synergy									1								8															ltng	1	0	0	0	0	0	15	10	12	16	20	28	(((skill('Recharge'.blvl)+skill('Lightning Fury'.blvl)+skill(20.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Plague Javelin	25	ama	plague javelin	4											plaguejavelin																																																																															amazon_cast_poison		1												11						plaguejavelin													1	3	1	rng		jave										TH	TH	xx				1																										12	20								1				(100*75)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1			1		1	7	14	1	1	1																																				10	Damage synergy									1	30	9						3	128														pois	15	9	18	30	60	90	24	9	18	30	60	90	(((skill('Poison Point'.blvl))*par8)+((blvl==20)?(stat('level'.accr):0))*(100+(stat('ex_missiles'.accr)*2))/100)	75	10	10	10				5	20	0
Strafe	26	ama	strafe	8	12													strafearrow	strafebolt								dm12																																																																			amazon_dodge_1					paladin_charge									13	20						strafearrow	strafebolt											1	0	1	rng		miss										A1	A1	xx				1											1															1	20								1						1	1					1	6	8	1		1										"min(par5 +((lvl-1)/2) , par7)+stat('ex_missiles'.accr)+((blvl==20)?2:0)"	Minimum # of Missiles created	dm34+(stat('ex_attacks'.accr)*10)	Damage %	par7+stat('ex_missiles'.accr)+((blvl==20)?2:0)	Maximum # of Missiles created							10	Radius min	25	Radius Max	5	Minimum Damage% Added	75	Maximum Damage% Add	3	# of shots fired Min (+1 per level)	50	% Anim frame rollback	7	# of shots fired Max	5	Damage synergy									1	40	3						8	128														fire	3	3	5	8	12	18	6	4	6	12	16	20	((skill('Exploding Arrow'.blvl)+skill('Curtain of Fire'.blvl))*par8)+(stat('ex_missiles'.accr)*2)								5	20	0
Curtain of Fire	27	ama	curtain of fire												curtainarrow												3																																																																																	11						curtainarrow													1	6	1	rng		miss										A1	A1	xx				1					1						1															18	20								1				(100*75)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					1	7	12	1	1	1										3	Exp Radius											16	Explosion Radius	1	Explosion Damage Radius	25	Duration of fire	1	Duration of fire per level							5	Damage synergy									1	30	9						7	64	10	6	10	42	48	55	20	9	18	50	60	68	stat('ex_attacks'.accr)*4	fire	10	12	30	42	48	55	20	15	35	50	60	68	(((skill('Exploding Arrow'.blvl)+skill('Curtain of Fire'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Decoy	28	ama	decoy		15																			dopplezon				fireresist	"min(lvl*par7,85)"	lightresist	"min(lvl*par7,85)"	coldresist	"min(lvl*par7,85)"	poisonresist	"min(lvl*par7,85)"	item_attackertakesdamage	(blvl==20)?25:0																																								dopplezon	dopplezon	1+min((stat('sum_ex'.accr)/3),2)	NU												dopllezon_appear		amazon_valkyrie_cast																																	1	4		none												SC	SC	xx					4																									12	10								1				(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))		1	1					12	6	76	-3	1	1										lvl*par4	HP %	ln56	Duration	par3	HP % derived from caster							25	Stun Length Baseline	15	Stun length Per Level	15	HP % derived from caster	5	HP % bonus per level	250	Duration baseline	0	Duration per level	4	Resistance % bonus per level											1								8															mag	6	3	4	8	18	54	12	3	6	10	20	56	(stat('passive_mag_mastery'.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Evasive Tactics	29	ama	evasive tactics																																											dodge			passive_dodge	"min(dm12,60)"	passive_avoid	(blvl>4)?(max((((110 * (lvl-5)) * (par2 - par1)) / (100 * ((lvl-5) + 6)) + par1),0)):0	passive_evade	(blvl>9)?(max((((110 * (lvl-10)) * (par2 - par1)) / (100 * ((lvl-10) + 6)) + par1),0)):0	item_fastermovevelocity	(blvl==10)?20:0																																						amazon_dodge_1																																	1	0		h2h												S1	S1	xx																														6	10								1						0	0					0	8	0	0	1	0							1															5	Min % Chance	75	Max % Chance											2	Anim Mode (0 = enable uninterruptable Anim | 1 = disable Anim | 2 = enable interruptable anim)									1								8																																				5	20	0
Fend	30	ama	fend	9	13																																																																																										amazon_jab_1	1												14	21																		1	0		h2h		jave	pole	spea								A1	A1	xx	9		1			1	1								1															18	20								1						1	1					1	8	5	0		1										(12+stat('ex_attacks'.accr))+((blvl==20)?2:0)	# of max targets	(ln34+(skill('Jab'.blvl)+skill('Impale'.blvl)+skill('Lightning Fury'.blvl))*par8)+(stat('ex_attacks'.accr)*10)	Damage %			0	% Damage Dealt as Elemental (Used only if there is an Etype)					1	# of max targets per level	60	% Anim frame rollback	70	Damage % baseline	10	Damage % per level							10	Damage Synergy									1	40	10						8	128														mag	6	3	4	8	18	54	12	3	6	10	20	56	(stat('passive_mag_mastery'.accr)*(100+(stat('ex_missiles'.accr)*2))/100)								5	20	0
Freezing Arrow	31	ama	freezing arrow	4											freezingarrow																																																																																													11						freezingarrow													1	7	1	rng		miss										A1	A1	xx				1											1															12	20								1						1	1					1	7	14	1	1	1										par1	Damage Radius											5	Radius of impact											5	Freeze Length synergy	12	Damage synergy									1	40	9						8	128														cold	7	7	12	25	44	50	15	10	15	30	48	50	(((skill('Cold Arrow'.blvl))*par8)*(100+(stat('ex_missiles'.accr)*2))/100)	50				(skill('Hail of Arrows'.blvl)) * par7+((blvl==20)?100:0)			5	20	0
