*RuneName	Name	complete	firstLadderSeason	lastLadderSeason	*Patch Release	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*RunesUsed	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	*eol
Death	Runeword20	1			Previously Ladder Only	swor	axe								Hel El Vex Ort Gul	r15	r01	r26	r09	r25		dmg%		300	385	deadly/lvl	4			charged	Blood Golem	15	22	att-skill	CTC_GlacialSpike	25	18	death-skill	CTC_ChainLightning	100	44	crush		50	50	indestruct		1	1	0
Death	Runeword20	1			Previously Ladder Only	swor	axe								Hel El Vex Ort Gul	jew	r15	r01	r26	r09	r25	dmg%		300	385	deadly/lvl	4			charged	Blood Golem	15	22	att-skill	CTC_GlacialSpike	25	18	death-skill	CTC_ChainLightning	100	44	crush		50	50	indestruct		1	1	0
Deception	Runeword21	1			New to Modv1.0	scyt	mele	thro							AmnShael	r11	r13					dmg%		85	170	pierce		33	33	rep-quant	100			ext-missile		1	1	slow/dex	1			att		40	110					0
Deception	Runeword21	1			New to Modv1.0	scyt	mele	thro							AmnShael	jew	r11	r13				dmg%		85	170	pierce		33	33	rep-quant	100			ext-missile		1	1	slow/dex	1			att		40	110					0
Deception	Runeword21	1			New to Modv1.0	scyt	mele	thro							AmnShael	jew	jew	r11	r13			dmg%		85	170	pierce		33	33	rep-quant	100			ext-missile		1	1	slow/dex	1			att		40	110					0
Delirium	Runeword22	1			110	helm									Lem Ist Io	r20	r24	r16				hit-skill	CTC_Confuse	11	18	gethit-skill	CTC_Terror	14	13	ac		261	261	gethit-skill	CTC_MindBlast	6	14	gethit-skill	Delerium Change	1	50	allskills		2	2	charges	Attract	7	60	0
Desire	Runeword23	1			New to Modv1.0	orb									Lum Io	r17	r16					cast/enr	1			sor		1	2	mana/lvl	16			ac-miss		100	250	res-all		5	15	regen		1	10	cdr		5	15	0
Desire	Runeword23	1			New to Modv1.0	orb									Lum Io	jew	r17	r16				cast/enr	1			sor		1	2	mana/lvl	16			ac-miss		100	250	res-all		5	15	regen		1	10	cdr		5	15	0
Despair	Runeword24	1			New to Modv1.0	glov									Nef Amn	r04	r11					str%		1	5	dmg%		15	30	swing		20	20	ac%		50	85	deadly/dex	1			regen		-10	-10					0
Despair	Runeword24	1			New to Modv1.0	glov									Nef Amn	jew	r04	r11				str%		1	5	dmg%		15	30	swing		20	20	ac%		50	85	deadly/dex	1			regen		-10	-10					0
Destruction	Runeword25	1			Previously Ladder Only	pole	swor								Vex Lo Ber Jah Ko	r26	r28	r30	r31	r18		dmg%		350	350	dmg-mag		100	180	hit-skill	CTC_MoltenBoulder	5	23	death-skill	CTC_Meteor	100	45	att-skill	CTC_Nova	15	22	hit-skill	CTC_Volcano	23	12	noheal		1	1	0
Destruction	Runeword25	1			Previously Ladder Only	pole	swor								Vex Lo Ber Jah Ko	jew	r26	r28	r30	r31	r18	dmg%		350	350	dmg-mag		100	180	hit-skill	CTC_MoltenBoulder	5	23	death-skill	CTC_Meteor	100	45	att-skill	CTC_Nova	15	22	hit-skill	CTC_Volcano	23	12	noheal		1	1	0
Doom	Runeword26	1			110	axe	pole	hamm							Hel Ohm Um Lo Cham	r15	r27	r22	r28	r32		dmg%		280	320	aura	Holy Freeze	12	12	swing		45	45	noheal		1	1	pierce-cold		40	60	allskills		2	2	hit-skill	CTC_Volcano	5	18	0
Doom	Runeword26	1			110	axe	pole	hamm							Hel Ohm Um Lo Cham	jew	r15	r27	r22	r28	r32	dmg%		280	320	aura	Holy Freeze	12	12	swing		45	45	noheal		1	1	pierce-cold		40	60	allskills		2	2	hit-skill	CTC_Volcano	5	18	0
Dragon	Runeword27	1			Previously Ladder Only	tors	shld								Sur Lo Sol	r29	r28	r12				ac		360	360	ac-miss		230	230	str/lvl	3			oskill	Hydra	5	12	gethit-skill	CTC_Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5	0
Dragon	Runeword27	1			Previously Ladder Only	tors	shld								Sur Lo Sol	jew	r29	r28	r12			ac		360	360	ac-miss		230	230	str/lvl	3			oskill	Hydra	5	12	gethit-skill	CTC_Venom	20	18	aura	Holy Fire	14	14	all-stats		3	5	0
Dread	Runeword28	1			New to Modv1.0	comb									Um Gul Nef Ko	r22	r25	r04	r18			dmg%		110	220	howl		10	10	gethit-skill	CTC_Howl	5	5	rep-quant	100			swing		30	30	skill	Throwing Mastery	3	6	att		75	225	0
Dream	Runeword29	1			Previously Ladder Only	helm	shld								Io Jah Pul	r16	r31	r21				ac		150	220	gethit-skill	CTC_Confuse	10	15	mana/lvl	5			res-all		5	20	balance		20	30	aura	Holy Shock	15	15	mag%		12	25	0
Dream	Runeword29	1			Previously Ladder Only	helm	shld								Io Jah Pul	jew	r16	r31	r21			ac		150	220	gethit-skill	CTC_Confuse	10	15	mana/lvl	5			res-all		5	20	balance		20	30	aura	Holy Shock	15	15	mag%		12	25	0
Duress	Runeword30	1			110	tors									Shael Um Thul	r13	r22	r10				dmg-cold	50	37	133	dmg%		10	20	ac%		150	200	balance		20	20	openwounds		25	25	crush		15	15					0
Duress	Runeword30	1			110	tors									Shael Um Thul	jew	r13	r22	r10			dmg-cold	50	37	133	dmg%		10	20	ac%		150	200	balance		20	20	openwounds		25	25	crush		15	15					0
Edge	Runeword31	1			Previously Ladder Only	miss									Tir Tal Amn	r03	r07	r11				dmg-demon		320	380	dmg-undead		280	280	swing		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		5	10					0
Edge	Runeword31	1			Previously Ladder Only	miss									Tir Tal Amn	jew	r03	r07	r11			dmg-demon		320	380	dmg-undead		280	280	swing		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		5	10					0
Edge	Runeword31	1			Previously Ladder Only	miss									Tir Tal Amn	jew	jew	r03	r07	r11		dmg-demon		320	380	dmg-undead		280	280	swing		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		5	10					0
Edge	Runeword31	1			Previously Ladder Only	miss									Tir Tal Amn	jew	jew	jew	r03	r07	r11	dmg-demon		320	380	dmg-undead		280	280	swing		35	35	noheal		1	1	aura	Thorns	15	15	all-stats		5	10					0
Elation	Runeword32	1			New to Modv1.0	ajav									Ort Ist Ko	r09	r24	r18				dmg%		115	275	res-all		5	15	ama		1	2	skilltab	2	0	2	att%		25	25	rep-quant	100			swing		20	20	0
Enigma	Runeword33	1			110	tors									Jah Ith Ber	r31	r06	r30				ac		750	775	heal-kill		14	14	move		45	45	str/lvl	6			allskills		2	2	mag%/lvl	8			oskill	Blink Strike	1	1	0
Enigma	Runeword33	1			110	tors									Jah Ith Ber	jew	r31	r06	r30			ac		750	775	heal-kill		14	14	move		45	45	str/lvl	6			allskills		2	2	mag%/lvl	8			oskill	Blink Strike	1	1	0
Enlightenment	Runeword34	1			111	tors									Pul Ral Sol	r21	r08	r12				hit-skill	CTC_FireBall	5	15	gethit-skill	CTC_Blaze	5	15	sor		2	2	oskill	Warmth	1	1													0
Enlightenment	Runeword34	1			111	tors									Pul Ral Sol	jew	r21	r08	r12			hit-skill	CTC_FireBall	5	15	gethit-skill	CTC_Blaze	5	15	sor		2	2	oskill	Warmth	1	1													0
Envy	Runeword35	1			New to Modv1.0	glov									Eth Dol	r05	r14					dualsteal		3	5	dual%		-5	-5	glovestat		20	20	dmg%		10	15	deadly		3	5									0
Envy	Runeword35	1			New to Modv1.0	glov									Eth Dol	jew	r05	r14				dualsteal		3	5	dual%		-5	-5	glovestat		20	20	dmg%		10	15	deadly		3	5									0
Eternity	Runeword36	1			110	mele									Amn Ber Ist Sol Sur	r11	r30	r24	r12	r29		dmg%		260	310	slow		33	33	charged	Revive	88	8	regen		16	16	regen-mana		16	16	nofreeze		1	1	indestruct		1	1	0
Eternity	Runeword36	1			110	mele									Amn Ber Ist Sol Sur	jew	r11	r30	r24	r12	r29	dmg%		260	310	slow		33	33	charged	Revive	88	8	regen		16	16	regen-mana		16	16	nofreeze		1	1	indestruct		1	1	0
Exile	Runeword37	1			110	ashd									Vex Ohm Ist Dol	r26	r27	r24	r14			blockrate		30	30	freeze		1	1	ac%		220	260	aura	Defiance	13	16	skilltab	10	2	2	hit-skill	CTC_LifeTap	15	5	rep-dur	25			0
Faith	Runeword38	1			"110, Previously Ladder Only"	miss									Ohm Jah Lem Eld	r27	r31	r20	r02			dmg%		280	280	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	Fanaticism	12	15	reanimate	1	10	10	allskills		1	2	0
Faith	Runeword38	1			"110, Previously Ladder Only"	miss									Ohm Jah Lem Eld	jew	r27	r31	r20	r02		dmg%		280	280	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	Fanaticism	12	15	reanimate	1	10	10	allskills		1	2	0
Faith	Runeword38	1			"110, Previously Ladder Only"	miss									Ohm Jah Lem Eld	jew	jew	r27	r31	r20	r02	dmg%		280	280	att%		300	300	dmg-fire		120	120	res-all		15	15	aura	Fanaticism	12	15	reanimate	1	10	10	allskills		1	2	0
Famine	Runeword39	1				axe	hamm								Fal Ohm Ort Jah	r19	r27	r09	r31			dmg%		270	320	lifesteal		12	12	swing		30	30	noheal		1	1	dmg-mag		180	200	dmg-elem		50	200	ethereal		1	1	0
Famine	Runeword39	1				axe	hamm								Fal Ohm Ort Jah	jew	r19	r27	r09	r31		dmg%		270	320	lifesteal		12	12	swing		30	30	noheal		1	1	dmg-mag		180	200	dmg-elem		50	200	ethereal		1	1	0
Famine	Runeword39	1				axe	hamm								Fal Ohm Ort Jah	jew	jew	r19	r27	r09	r31	dmg%		270	320	lifesteal		12	12	swing		30	30	noheal		1	1	dmg-mag		180	200	dmg-elem		50	200	ethereal		1	1	0
Flickering Flame	Runeword40	1			New to Modv1.0	orb									Tir Ral	r03	r08					fireskill		1	2	mana/lvl		8	16	res-cold		15	15	skill	Warmth	3	3	skill	Firestorm	3	3	cast		10	10					0
Flickering Flame	Runeword40	1			New to Modv1.0	orb									Tir Ral	jew	r03	r08				fireskill		1	2	mana/lvl		8	16	res-cold		15	15	skill	Warmth	3	3	skill	Firestorm	3	3	cast		10	10					0
Fortitude	Runeword41	1			Previously Ladder Only	weap	tors								El Sol Dol Lo	r01	r12	r14	r28			ac%		200	200	dmg%		300	300	cast		25	25	gethit-skill	CTC_ShiverArmor	20	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30	0
Fortitude	Runeword41	1			Previously Ladder Only	weap	tors								El Sol Dol Lo	jew	r01	r12	r14	r28		ac%		200	200	dmg%		300	300	cast		25	25	gethit-skill	CTC_ShiverArmor	20	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30	0
Fortitude	Runeword41	1			Previously Ladder Only	weap	tors								El Sol Dol Lo	jew	jew	r01	r12	r14	r28	ac%		200	200	dmg%		300	300	cast		25	25	gethit-skill	CTC_ShiverArmor	20	15	dmg-to-mana		12	12	hp/lvl		8	12	res-all		25	30	0
Fortune	Runeword42	1			New to Modv1.0	miss									Ist Gul Mal Um	r24	r25	r23	r22			dmg%		100	100	dmg%/lvl	10			dex%		5	20	mag%/lvl	8			swing		30	30	gold%		50	200	oskill	Evasive Tactics	3	3	0
Fortune	Runeword42	1			New to Modv1.0	miss									Ist Gul Mal Um	jew	r24	r25	r23	r22		dmg%		100	100	dmg%/lvl	10			dex%		5	20	mag%/lvl	8			swing		30	30	gold%		50	200	oskill	Evasive Tactics	3	3	0
Fortune	Runeword42	1			New to Modv1.0	miss									Ist Gul Mal Um	jew	jew	r24	r25	r23	r22	dmg%		100	100	dmg%/lvl	10			dex%		5	20	mag%/lvl	8			swing		30	30	gold%		50	200	oskill	Evasive Tactics	3	3	0
Fury	Runeword44	1			109	mele									Jah Gul Eth	r31	r25	r05				dmg%		209	209	swing		40	40	noheal		1	1	openwounds		33	33	lifesteal		6	6	deadly		33	33	skill	Frenzy	5	5	0
Fury	Runeword44	1			109	mele									Jah Gul Eth	jew	r31	r25	r05			dmg%		209	209	swing		40	40	noheal		1	1	openwounds		33	33	lifesteal		6	6	deadly		33	33	skill	Frenzy	5	5	0
Fury	Runeword44	1			109	mele									Jah Gul Eth	jew	jew	r31	r25	r05		dmg%		209	209	swing		40	40	noheal		1	1	openwounds		33	33	lifesteal		6	6	deadly		33	33	skill	Frenzy	5	5	0
Fury	Runeword44	1			109	mele									Jah Gul Eth	jew	jew	jew	r31	r25	r05	dmg%		209	209	swing		40	40	noheal		1	1	openwounds		33	33	lifesteal		6	6	deadly		33	33	skill	Frenzy	5	5	0
Gloom	Runeword45	1			110	tors									Fal Um Pul	r19	r22	r21				ac%		170	230	res-all		30	30	gethit-skill	CTC_DimVision	15	3	balance		10	10	dmg-to-mana		5	5	light		-2	-2	half-freeze		1	1	0
Gloom	Runeword45	1			110	tors									Fal Um Pul	jew	r19	r22	r21			ac%		170	230	res-all		30	30	gethit-skill	CTC_DimVision	15	3	balance		10	10	dmg-to-mana		5	5	light		-2	-2	half-freeze		1	1	0
Glory	Runeword46	1			New to Modv1.0	comb									Shael Ber Vex	r13	r30	r26				dmg%		225	310	swing		20	20	att/lvl	40			oskill	Throwing Mastery	5	5	pierce/dex	1			ext-missile		2	3	gold		300	300	0
Glory	Runeword46	1			New to Modv1.0	comb									Shael Ber Vex	jew	r13	r30	r26			dmg%		225	310	swing		20	20	att/lvl	40			oskill	Throwing Mastery	5	5	pierce/dex	1			ext-missile		2	3	gold		300	300	0
Grief	Runeword47	1			Previously Ladder Only	swor	axe								Eth Tir Lo Mal Ral	r05	r03	r28	r23	r08		dmg-dem/lvl	15			dmg		340	400	swing		30	40	hit-skill	CTC_Venom	35	15	pierce-pois		20	25	ignore-ac		1	1	heal-kill		10	15	0
Grief	Runeword47	1			Previously Ladder Only	swor	axe								Eth Tir Lo Mal Ral	jew	r05	r03	r28	r23	r08	dmg-dem/lvl	15			dmg		340	400	swing		30	40	hit-skill	CTC_Venom	35	15	pierce-pois		20	25	ignore-ac		1	1	heal-kill		10	15	0
Hand of Justice	Runeword48	1			110	weap									Sur Cham Amn Lo	r29	r32	r11	r28			swing		33	33	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	CTC_Blaze	100	36	death-skill	CTC_Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Hand of Justice	Runeword48	1			110	weap									Sur Cham Amn Lo	jew	r29	r32	r11	r28		swing		33	33	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	CTC_Blaze	100	36	death-skill	CTC_Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Hand of Justice	Runeword48	1			110	weap									Sur Cham Amn Lo	jew	jew	r29	r32	r11	r28	swing		33	33	dmg%		280	330	aura	Holy Fire	16	16	levelup-skill	CTC_Blaze	100	36	death-skill	CTC_Meteor	100	48	ignore-ac		1	1	pierce-fire		20	20	0
Harmony	Runeword49	1			Previously Ladder Only	miss									Tir Ith Sol Ko	r03	r06	r12	r18			dmg%		200	275	dmg-elem		55	160	charged	Revive	25	20	aura	Vigor_I	10	10	oskill	Valkyrie	2	6	regen-mana		20	20	light		2	2	0
Harmony	Runeword49	1			Previously Ladder Only	miss									Tir Ith Sol Ko	jew	r03	r06	r12	r18		dmg%		200	275	dmg-elem		55	160	charged	Revive	25	20	aura	Vigor_I	10	10	oskill	Valkyrie	2	6	regen-mana		20	20	light		2	2	0
Harmony	Runeword49	1			Previously Ladder Only	miss									Tir Ith Sol Ko	jew	jew	r03	r06	r12	r18	dmg%		200	275	dmg-elem		55	160	charged	Revive	25	20	aura	Vigor_I	10	10	oskill	Valkyrie	2	6	regen-mana		20	20	light		2	2	0
Hatred	Runeword50	1			New to Modv1.0	scep									Dol Sol Ral Thul	r14	r12	r08	r10			dmg%		115	115	dmg-ltng		5	30	swing		30	30	crush		10	10	deadly/lvl	4											0
Hatred	Runeword50	1			New to Modv1.0	scep									Dol Sol Ral Thul	jew	r14	r12	r08	r10		dmg%		115	115	dmg-ltng		5	30	swing		30	30	crush		10	10	deadly/lvl	4											0
Hatred	Runeword50	1			New to Modv1.0	scep									Dol Sol Ral Thul	jew	jew	r14	r12	r08	r10	dmg%		115	115	dmg-ltng		5	30	swing		30	30	crush		10	10	deadly/lvl	4											0
Heart of the Oak	Runeword51	1			110	staf	mace	scep							Ko Vex Pul Thul	r18	r26	r21	r10			cast		40	40	charged	CHARGE_Oak_Sage	25	4	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	charged	CHARGE_Summon_Spirit_Wolf	60	14	0
Heart of the Oak	Runeword51	1			110	staf	mace	scep							Ko Vex Pul Thul	jew	r18	r26	r21	r10		cast		40	40	charged	CHARGE_Oak_Sage	25	4	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	charged	CHARGE_Summon_Spirit_Wolf	60	14	0
Heart of the Oak	Runeword51	1			110	staf	mace	scep							Ko Vex Pul Thul	jew	jew	r18	r26	r21	r10	cast		40	40	charged	CHARGE_Oak_Sage	25	4	mana%		15	15	allskills		3	3	regen		20	20	res-all		30	40	charged	CHARGE_Summon_Spirit_Wolf	60	14	0
Heaven's Will	Runeword52	1			New to Modv1.0	scep	shld								Jah Zod El Sol	r31	r33	r01	r12			extra-mag		35	55	caststat		20	40	hp%		3	25	skill	Fist of the Heavens	4	7	skilltab	9	3	4	red-dmg%		20	25	abs-mag%		6	12	0
Heaven's Will	Runeword52	1			New to Modv1.0	scep	shld								Jah Zod El Sol	jew	r31	r33	r01	r12		extra-mag		35	55	caststat		20	40	hp%		3	25	skill	Fist of the Heavens	4	7	skilltab	9	3	4	red-dmg%		20	25	abs-mag%		6	12	0
Heaven's Will	Runeword52	1			New to Modv1.0	scep	shld								Jah Zod El Sol	jew	jew	r31	r33	r01	r12	extra-mag		35	55	caststat		20	40	hp%		3	25	skill	Fist of the Heavens	4	7	skilltab	9	3	4	red-dmg%		20	25	abs-mag%		6	12	0
Holy Tears	Runeword53	1			New to Modv1.0	head									Shael Tal	r13	r07					ac%		30	70	cast		20	20	skilltab	8	1	2	skill	Bone Armor	1	3	skill	Raise Skeleton	2	4	res-all		5	15	shieldstat		20	20	0
Holy Tears	Runeword53	1			New to Modv1.0	head									Shael Tal	jew	r13	r07				ac%		30	70	cast		20	20	skilltab	8	1	2	skill	Bone Armor	1	3	skill	Raise Skeleton	2	4	res-all		5	15	shieldstat		20	20	0
Holy Tears	Runeword53	1			New to Modv1.0	head									Shael Tal	jew	jew	r13	r07			ac%		30	70	cast		20	20	skilltab	8	1	2	skill	Bone Armor	1	3	skill	Raise Skeleton	2	4	res-all		5	15	shieldstat		20	20	0
Holy Thunder	Runeword54	1			109	scep									Eth Ral Ort Tal	r05	r08	r09	r07			dmg%		60	60	dmg-ltng		20	60	dmg-max	  	10	10	res-ltng		60	60	res-ltng-max		5	5	skill	Holy Shock	3	3	charged	Chain Lightning	60	7	0
