Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Amianthus	100	1	1	33		25				1	3	abs-fire		4	5										xbow	parm	cloa										0	0
of Fire Quenching	100	1		46		38				1	3	abs-fire		6	8										xbow	parm	cloa										0	0
of Faith	100	1	1	23		17				1	3	abs-fire		1	2										xbow	parm	cloa										0	0
of Resistance	100	1	1	11		8				1	3	abs-ltng		2	2										xbow	parm	cloa										0	0
of Insulation	100	1	1	19		14				1	3	abs-ltng		3	3										xbow	parm	cloa										0	0
of Grounding	100	1	1	28		21				1	3	abs-ltng		4	5										xbow	parm	cloa										0	0
of the Dynamo	100	1		38		30				1	3	abs-ltng		6	8										xbow	parm	cloa										0	0
of Resistance	100	1	1	13		9				1	3	abs-ltng		2	2										xbow	parm	cloa										0	0
of Insulation	100	1	1	22		16				1	3	abs-ltng		3	3										xbow	parm	cloa										0	0
of Grounding	100	1	1	33		25				1	3	abs-ltng		4	5										xbow	parm	cloa										0	0
of the Dynamo	100	1		46		38				1	3	abs-ltng		6	8										xbow	parm	cloa										0	0
of Stoicism	100	1	1	22		16				1	3	abs-ltng		1	2										xbow	parm	cloa										0	0
of Warming	100	1	1	11		8				1	3	abs-cold		2	2										xbow	parm	cloa										0	0
of Thawing	100	1	1	19		14				1	3	abs-cold		3	3										xbow	parm	cloa										0	0
of the Dunes	100	1	1	28		21				1	3	abs-cold		4	5										xbow	parm	cloa										0	0
of the Sirocco	100	1		38		30				1	3	abs-cold		6	8										xbow	parm	cloa										0	0
of Warming	100	1	1	13		9				1	3	abs-cold		2	2										xbow	parm	cloa										0	0
of Thawing	100	1	1	22		16				1	3	abs-cold		3	3										xbow	parm	cloa										0	0
of the Dunes	100	1	1	33		25				1	3	abs-cold		4	5										xbow	parm	cloa										0	0
of the Sirocco	100	1		46		38				1	3	abs-cold		6	8										xbow	parm	cloa										0	0
of Desire	100	1	1	23		17				1	3	abs-cold		1	2										jewl												0	0
of Bashing	0	1	1	16		12					4	dmg-ac		-25	-40										mele	misl						wand	staf				0	0
of Puncturing	0	1	1	6		4					4	dmg-ac		-10	-20										mele	misl						wand	staf				0	0
of Piercing	1	1	1	25		18				2	4	ignore-ac		1	1										rod	knif	h2h										0	0
of Thorns	0	1	1	14		10					5	thorns		1	3										tors	helm	shld	belt	misl								0	0
of Spikes	0	1	1	21		15					5	thorns		2	6									oran	tors	helm	shld	belt	misl								0	0
of Bashing	100	1	1	16		12				4	5	dmg-ac		-25	-40										blun							wand	staf	orb			0	0
of Puncturing	100	1	1	6		4				4	5	dmg-ac		-10	-20										spea	knif	h2h	pole									0	0
of Readiness	0	1	1	1		1					6	swing		10	10										weap	glov	misl										0	0
of Alacrity	0	1	1	8		6					6	swing		20	20										weap	misl											0	0
of Swiftness	0	1	1	19		14					6	swing		30	30										mele	misl						wand	staf				0	0
of Quickness	0	1	1	25		18					6	swing		40	40									dyel	mele							wand	staf				0	0
of Thorns	1	1	1	14		10				4	6	thorns		1	3										tors	shld	belt	circ									0	0
of Spikes	1	1	1	21		15				4	6	thorns		4	6									oran	tors	shld	belt	circ									0	0
of Razors	100	1	1	34		26				4	6	thorns		7	9									oran	tors	shld	circ										0	0
of Swords	100	1		47		39				4	6	thorns		10	20									oran	tors	shld	circ										0	0
of Malice	100	1	1	37		29				4	6	thorns		1	5										jewl												0	0
of Thorns	1	1	1	1	13	1				4	6	thorns		1	1										tors	belt	shld										0	0
of Blocking	0	1	1	1		1					7	block		10	10										shld												0	0
of Deflecting	0	1	1	11		8					7	block		20	20										shld												0	0
of Readiness	1	1	1	5		3				6	7	swing		10	10										weap	misl						wand	orb				0	0
of Alacrity	1	1	1	25		17				6	7	swing		20	20										weap	misl						wand	orb				0	0
of Swiftness	1	1	1	34		26				6	7	swing		30	30										mele	misl						wand	staf	orb			0	0
of Quickness	1	1	1	46		38				5	7	swing		40	40									dyel	mele							wand	staf	orb			0	0
of Alacrity	100	1	1	43		35				4	7	swing		20	20									dyel	glov												0	0
of Fervor	100	1		39		31				4	7	swing		15	15										jewl												0	0
of Readiness	1	1	1	20		15				2	7	swing		10	10										glov												0	0
of the Apprentice	0	1	1	5		3					8	cast		10	10										rod	ring	amul										0	0
of the Magus	0	1	1	17		12					8	cast		20	20										rod												0	0
of Blocking	1	1	1	1		1				7	8	block		10	10	blockrate		15	15						shld												0	0
of Deflecting	1	1	1	11		8				6	8	block		20	20	blockrate		30	30						shld												0	0
of Frost	0	1	1	4		3					9	cold-min		1	1	cold-max		1	4	cold-len		125	125		weap	misl											0	0
of the Glacier	0	1	1	18		13					9	cold-min		4	4	cold-max		4	12	cold-len		150	150		mele	misl											0	0
of Frost	0	1	1	55		41					9	cold-min		1	1	cold-max		1	4	cold-len		125	125		belt	amul	misl										0	0
of the Apprentice	1	1	1	5		3				6	9	cast		10	10										rod	ring	amul	orb	circ	xbow							0	0
of the Magus	1	1	1	29		21				5	9	cast		20	20										rod	orb	circ	xbow				scep					0	0
of Warmth	0	1	1	10		7					10	half-freeze		1	1										shld	boot	glov	ring	amul	misl							0	0
of Frost	1	1	1	4		3				5	10	cold-min		1	1	cold-max		1	2	cold-len		50	50		weap	misl						wand	orb				0	0
of the Icicle	100	1	1	13		9				4	10	cold-min		1	1	cold-max		3	4	cold-len		75	75		weap	misl						wand	orb				0	0
of the Glacier	1	1	1	27		20				3	10	cold-min		2	4	cold-max		4	15	cold-len		100	100	dblu	weap	misl						wand	orb				0	0
of Winter	100	1	1	45		37				2	10	cold-min		5	9	cold-max		16	50	cold-len		150	150	dblu	mele	xbow						wand	orb				0	0
of Frost	1	1	1	55		41				2	10	cold-min		1	1	cold-max		3	6	cold-len		50	50		belt	amul											0	0
of Frigidity	100	1	1	16		12				2	10	cold-min		1	1	cold-max		3	5	cold-len		50	50	dblu	jewl												0	0
of the Icicle	100	1	1	37		29				2	10	cold-min		2	3	cold-max		6	10	cold-len		50	50	dblu	jewl												0	0
of the Glacier	100	1		58		50				2	10	cold-min		4	5	cold-max		11	15	cold-len		50	50	dblu	jewl												0	0
of Frost	100	1	1	5		3				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25		lcha												0	0
of the Icicle	100	1	1	8		6				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25		lcha												0	0
of the Glacier	100	1	1	15		11				1	10	cold-min		3	3	cold-max		5	7	cold-len		25	25	dblu	lcha												0	0
of Winter	100	1		23		17				1	10	cold-min		4	6	cold-max		8	11	cold-len		25	25	dblu	lcha												0	0
of Frost	100	1	1	9		6				2	10	cold-min		1	1	cold-max		2	3	cold-len		25	25		mcha												0	0
of the Icicle	100	1	1	15		11				1	10	cold-min		2	2	cold-max		4	5	cold-len		25	25		mcha												0	0
of the Glacier	100	1	1	25		18				1	10	cold-min		3	3	cold-max		6	8	cold-len		25	25	dblu	mcha												0	0
of Winter	100	1		35		27				1	10	cold-min		4	6	cold-max		9	12	cold-len		25	25	dblu	mcha												0	0
of Frost	100	1	1	14		10				2	10	cold-min		1	1	cold-max		2	2	cold-len		25	25		scha												0	0
of the Icicle	100	1	1	21		15				1	10	cold-min		2	2	cold-max		3	4	cold-len		25	25		scha												0	0
of the Glacier	100	1	1	33		25				1	10	cold-min		3	3	cold-max		5	6	cold-len		25	25	dblu	scha												0	0
of Winter	100	1		46		38				1	10	cold-min		4	5	cold-max		7	9	cold-len		25	25	dblu	scha												0	0
of Frost	1	1	1	1	3	1				4	10	dmg-cold	25	1	1										weap							staf	wand	orb			0	0
of Flame	0	1	1	4		3					11	fire-min		1	1	fire-max		2	6						weap	misl											0	0
of Fire	0	1	1	15		11					11	fire-min		2	2	fire-max		6	11						weap	misl											0	0
of Burning	0	1	1	25		18					11	fire-min		10	10	fire-max		10	20					dred	weap	misl											0	0
of Flame	0	1	1	40		30					11	fire-min		1	1	fire-max		2	6						glov	ring	amul										0	0
of Warmth	1	1	1	10		7				4	11	half-freeze		1	1										shld	boot	glov	ring	amul	circ	orb						0	0
of Shock	0	1	1	4		3					12	ltng-min		1	1	ltng-max		8	8						weap												0	0
of Lightning	0	1	1	15		11					12	ltng-min		1	1	ltng-max		16	16						weap												0	0
of Thunder	0	1	1	25		18					12	ltng-min		1	1	ltng-max		32	32					dyel	weap												0	0
of Shock	0	1	1	50		37					12	ltng-min		1	1	ltng-max		8	8						boot	ring	amul	weap				miss	rod				0	0
of Flame	1	1	1	4		3				5	12	fire-min		1	1	fire-max		2	5						weap	misl						wand	orb				0	0
of Fire	1	1	1	15		11				4	12	fire-min		1	4	fire-max		6	11						weap	misl						wand	orb				0	0
of Burning	1	1	1	25		18				3	12	fire-min		5	9	fire-max		10	20					dred	weap	misl						wand	orb				0	0
of Incineration	100	1	1	43		35				2	12	fire-min		10	20	fire-max		21	75					dred	mele	xbow						wand	orb				0	0
of Flame	100	1	1	40		30				2	12	fire-min		1	1	fire-max		2	6						glov	ring	amul										0	0
of Passion	100	1	1	15		11				2	12	fire-min		1	3	fire-max		6	10					dred	jewl												0	0
of Fire	100	1	1	36		28				2	12	fire-min		4	10	fire-max		11	30					dred	jewl												0	0
of Burning	100	1	1	57		49				2	12	fire-min		11	25	fire-max		31	50					dred	jewl												0	0
of Flame	100	1	1	3		2				2	12	fire-min		1	1	fire-max		2	2						lcha												0	0
of Fire	100	1	1	8		6				1	12	fire-min		1	2	fire-max		3	3						lcha												0	0
of Burning	100	1	1	14		10				1	12	fire-min		2	3	fire-max		4	7					dred	lcha												0	0
of Incineration	100	1		22		16				1	12	fire-min		4	7	fire-max		8	14					dred	lcha												0	0
of Flame	100	1	1	7		5				2	12	fire-min		1	1	fire-max		2	2						mcha												0	0
of Fire	100	1	1	14		10				1	12	fire-min		2	2	fire-max		3	5						mcha												0	0
of Burning	100	1	1	24		18				1	12	fire-min		3	5	fire-max		6	11					dred	mcha												0	0
of Incineration	100	1		34		26				1	12	fire-min		6	10	fire-max		12	17					dred	mcha												0	0
of Flame	100	1	1	11		8				2	12	fire-min		1	1	fire-max		2	2						scha												0	0
of Fire	100	1	1	20		15				1	12	fire-min		2	2	fire-max		3	4						scha												0	0
of Burning	100	1	1	32		24				1	12	fire-min		3	4	fire-max		5	8					dred	scha												0	0
of Incineration	100	1		45		37				1	12	fire-min		5	7	fire-max		9	13					dred	scha												0	0
of Flame	1	1	1	1	3	1				4	12	dmg-fire		1	2										weap							staf	wand	orb			0	0
of Craftsmanship	0	1	1	1		1					13	dmg-max		1	2										weap	ring	amul					misl					0	0
of Quality	0	1	1	4		3					13	dmg-max		2	2										weap							misl					0	0
of Maiming	0	1	1	7		5					13	dmg-max		3	4										weap							misl					0	0
of Slaying	0	1	1	11		8					13	dmg-max		5	7										weap							misl					0	0
of Gore	0	1	1	14		10					13	dmg-max		8	10										weap							misl					0	0
of Carnage	0	1	1	19		14					13	dmg-max		11	14									blac	weap							wand	staf	misl			0	0
of Slaughter	0	1	1	25		18					13	dmg-max		15	20									blac	weap							wand	staf	misl			0	0
of Maiming	0	1	1	42		31					13	dmg-max		3	4										shld	ring	amul					misl					0	0
of Shock	1	1	1	4		3				5	13	ltng-min		1	1	ltng-max		6	8						weap	misl						wand	orb				0	0
of Lightning	1	1	1	15		11				4	13	ltng-min		1	1	ltng-max		9	16						weap	misl						wand	orb				0	0
of Thunder	1	1	1	25		18				3	13	ltng-min		1	1	ltng-max		17	40					dyel	weap	misl						wand	orb				0	0
of Storms	100	1	1	34		26				2	13	ltng-min		1	6	ltng-max		41	120					dyel	mele	xbow						wand	orb				0	0
of Shock	100	1	1	50		37				2	13	ltng-min		1	1	ltng-max		11	23						boot	ring	amul										0	0
of Ennui	100	1	1	15		11				2	13	ltng-min		1	1	ltng-max		10	20					dyel	jewl												0	0
of Lightning	100	1	1	36		28				2	13	ltng-min		1	1	ltng-max		21	60					dyel	jewl												0	0
of Thunder	100	1	1	57		49				2	13	ltng-min		1	1	ltng-max		61	100					dyel	jewl												0	0
of Shock	100	1	1	4		3				2	13	ltng-min		1	1	ltng-max		2	3						lcha												0	0
of Lightning	100	1	1	7		5				1	13	ltng-min		1	1	ltng-max		4	7						lcha												0	0
of Thunder	100	1	1	15		11				1	13	ltng-min		1	1	ltng-max		8	21					dyel	lcha												0	0
of Storms	100	1		22		16				1	13	ltng-min		1	1	ltng-max		22	33					dyel	lcha												0	0
of Shock	100	1	1	7		5				2	13	ltng-min		1	1	ltng-max		3	5						mcha												0	0
of Lightning	100	1	1	14		10				1	13	ltng-min		1	1	ltng-max		6	13						mcha												0	0
of Thunder	100	1	1	24		18				1	13	ltng-min		1	1	ltng-max		14	25					dyel	mcha												0	0
of Storms	100	1		34		26				1	13	ltng-min		1	1	ltng-max		26	38					dyel	mcha												0	0
of Shock	100	1	1	12		9				2	13	ltng-min		1	1	ltng-max		3	6						scha												0	0
of Lightning	100	1	1	21		15				1	13	ltng-min		1	1	ltng-max		7	10						scha												0	0
of Thunder	100	1	1	33		25				1	13	ltng-min		1	1	ltng-max		11	18					dyel	scha												0	0
of Storms	100	1		45		37				1	13	ltng-min		1	1	ltng-max		19	28					dyel	scha												0	0
of Shock	1	1	1	1	3	1				4	13	dmg-ltng		1	3										weap							staf	wand	orb			0	0
of Worth	0	1	1	2		1					14	dmg-min		1	1										weap							rod	misl				0	0
of Measure	0	1	1	6		4					14	dmg-min		2	2										weap							misl					0	0
of Excellence	0	1	1	12		9					14	dmg-min		3	3										weap	ring	amul					misl					0	0
of Performance	0	1	1	18		13					14	dmg-min		4	5									blac	weap							misl					0	0
of Measure	0	1	1	37		27					14	dmg-min		2	2										tors	helm	ring	amul				misl					0	0
of Craftsmanship	1	1	1	1		1				8	14	dmg-max		1	1										weap	ring	amul					wand	staf	orb	misl		0	0
of Quality	1	1	1	4		3				8	14	dmg-max		2	2										weap							wand	staf	orb	misl		0	0
of Maiming	1	1	1	7		5				7	14	dmg-max		3	4										weap							wand	staf	orb	misl		0	0
of Slaying	1	1	1	11		8				7	14	dmg-max		5	7										weap							wand	staf	orb	misl		0	0
of Gore	1	1	1	14		10				6	14	dmg-max		8	10										weap							wand	staf	orb	misl		0	0
of Carnage	1	1	1	19		14				6	14	dmg-max		11	14									blac	weap							wand	staf	orb	misl		0	0
of Slaughter	1	1	1	25		18				5	14	dmg-max		15	20									blac	weap							wand	staf	orb	misl		0	0
of Butchery	100	1		35		27				5	14	dmg-max		21	40									blac	weap							wand	staf	orb	misl		0	0
of Evisceration	100	1		45		37				4	14	dmg-max		41	63									blac	weap							wand	staf	orb	misl		0	0
of Maiming	1	1	1	42		34				4	14	dmg-max		3	4										shld	ring	amul					misl					0	0
of Craftsmanship	100	1	1	1	7	1				4	14	dmg-max		1	2										circ							misl					0	0
of Craftsmanship	100	1	1	8	14	6				4	14	dmg-max		2	3										circ							misl					0	0
of Craftsmanship	100	1	1	15		11				4	14	dmg-max		4	5										circ							misl					0	0
of Quality	100	1	1	23	29	17				4	14	dmg-max		6	7										circ							misl					0	0
of Quality	100	1	1	30		22				4	14	dmg-max		7	8										circ							misl					0	0
of Maiming	100	1		37	44	29				4	14	dmg-max		9	10										circ							misl					0	0
of Maiming	100	1		45		37				4	14	dmg-max		11	12										circ							misl					0	0
of Craftsmanship	100	0	1	8	17	6				4	14	dmg-max		1	1										mcha							misl					0	0
of Craftsmanship	100	0	1	18		13				4	14	dmg-max		2	2										mcha							misl					0	0
of Quality	100	0	1	28	37	21				4	14	dmg-max		3	4										mcha							misl					0	0
of Quality	100	0	1	38		30				4	14	dmg-max		5	6										mcha							misl					0	0
of Maiming	100	0		48		40				4	14	dmg-max		7	8										mcha							misl					0	0
of Craftsmanship	100	0	1	21		15				4	14	dmg-max		1	1										scha							misl					0	0
of Quality	100	0	1	36		28				4	14	dmg-max		2	2										scha							misl					0	0
of Maiming	100	0		51		43				4	14	dmg-max		3	4										scha							misl					0	0
of Ire	100	1	1	4		3				4	14	dmg-max		2	5										jewl							misl					0	0
of Wrath	100	1	1	11		8				4	14	dmg-max		6	9									blac	jewl							misl					0	0
of Carnage	100	1		25		18				4	14	dmg-max		11	15									blac	jewl							misl						
of Craftsmanship	100	1	1	1		1				4	14	dmg-max		1	1										lcha							misl					0	0
of Quality	100	1	1	41		33				4	14	dmg-max		2	2										lcha							misl					0	0
of Maiming	100	1		71		63				4	14	dmg-max		3	4										lcha							misl					0	0
of Craftsmanship	100	1	1	26		19				4	14	dmg-max		1	1										mcha							misl					0	0
of Quality	100	1		56		48				4	14	dmg-max		2	2										mcha							misl					0	0
of Craftsmanship	100	1	1	85		77				4	14	dmg-max		1	1										scha							misl					0	0
of Blight	0	1	1	5		3					15	pois-min		8	8	pois-max		24	24	pois-len		75	75		weap	misl						scep					0	0
of Venom	0	1	1	15		11					15	pois-min		16	16	pois-max		48	48	pois-len		75	75		weap	misl						scep					0	0
of Pestilence	0	1	1	25		18					15	pois-min		32	32	pois-max		72	72	pois-len		100	100	dgrn	weap	misl						scep					0	0
of Blight	0	1	1	45		33					15	pois-min		8	8	pois-max		24	24	pois-len		75	75		ring	amul											0	0
of Worth	1	1	1	1		1				8	15	dmg-min		1	2										weap							staf	wand	orb	misl		0	0
of Measure	1	1	1	12		9				7	15	dmg-min		3	4										weap							staf	wand	orb	misl		0	0
of Excellence	1	1	1	24		18				6	15	dmg-min		5	8										weap							staf	wand	orb	misl		0	0
of Performance	1	1	1	48		40				5	15	dmg-min		9	14									blac	weap							staf	wand	orb	misl		0	0
of Transcendence	100	1	1	76		68				4	15	dmg-min		15	20									blac	weap							staf	wand	orb	misl		0	0
of Worth	1	1	1	15		11				4	15	dmg-min		2	3										ring	amul	circ					misl					0	0
of Measure	1	1	1	37		29				4	15	dmg-min		4	5										ring	amul	circ					misl					0	0
of Excellence	1	1	1	59		51				4	15	dmg-min		6	9										ring	amul	circ					misl					0	0
of Performance	100	1		81		73				4	15	dmg-min		10	13										ring	amul	circ					misl					0	0
of Joyfulness	100	1	1	5		3				4	15	dmg-min		1	4									whit	jewl							misl					0	0
of Bliss	100	1	1	43		37				4	15	dmg-min		5	10									whit	jewl							misl					0	0
of Dexterity	0	1	1	4		3					16	dex		1	1										ring	amul	misl										0	0
of Dexterity	0	1	1	5		3					16	dex		1	3										scep	miss	boot	glov	ring	amul	misl						0	0
of Skill	0	1	1	10		7					16	dex		4	6										scep	miss	boot	glov	ring	amul	misl						0	0
of Skill	0	1	1	45		33					16	dex		4	6										armo							boot	glov				0	0
of Accuracy	0	1	1	18		13					16	dex		7	10										scep	miss	boot	glov	ring	amul	misl						0	0
of Precision	0	1	1	22		16					16	dex		11	15										scep	miss	amul	misl									0	0
of Precision	0	1	1	60		45					16	dex		11	15										armo	ring	misl										0	0
of Perfection	0	1	1	30		22					16	dex		16	20									dgld	miss	glov	amul	misl									0	0
of Blight	1	1	1	5		3				5	16	dmg-pois	75	24	24										weap	circ	misl					rod	orb				0	0
of Venom	1	1	1	15		11				4	16	dmg-pois	100	54	54										weap	circ	misl					rod	orb				0	0
of Pestilence	1	1	1	25		18				3	16	dmg-pois	125	103	103									dgrn	weap	circ	misl					rod	orb				0	0
of Anthrax	100	1	1	33		25				2	16	dmg-pois	150	171	171									dgrn	weap	misl						rod	orb				0	0
of Blight	100	1	1	45		33				2	16	dmg-pois	75	171	171										ring	amul											0	0
of Envy	100	1	1	1		1				2	16	dmg-pois	50	103	103									dgrn	jewl												0	0
of Blight	100	1	1	1		1				2	16	dmg-pois	75	21	21										lcha												0	0
of Venom	100	1	1	6		4				1	16	dmg-pois	100	39	39										lcha												0	0
of Pestilence	100	1	1	14		10				1	16	dmg-pois	125	52	52									dgrn	lcha												0	0
of Anthrax	100	1		21		15				1	16	dmg-pois	150	86	86									dgrn	lcha												0	0
of Blight	100	1	1	5		3				2	16	dmg-pois	75	21	21										mcha												0	0
of Venom	100	1	1	13		9				1	16	dmg-pois	100	39	39										mcha												0	0
of Pestilence	100	1	1	23		17				1	16	dmg-pois	125	52	52									dgrn	mcha												0	0
of Anthrax	100	1		33		25				1	16	dmg-pois	150	86	86									dgrn	mcha												0	0
of Blight	100	1	1	9		6				2	16	dmg-pois	75	21	21										scha												0	0
of Venom	100	1	1	20		15				1	16	dmg-pois	100	39	39										scha												0	0
of Pestilence	100	1	1	32		24				1	16	dmg-pois	125	52	52									dgrn	scha												0	0
of Anthrax	100	1		44		36				1	16	dmg-pois	150	86	86									dgrn	scha												0	0
of Blight	1	1	1	1	4	1				4	16	dmg-pois	50	8	8										weap							scep	staf	orb			0	0
of Balance	0	1	1	5		3					17	balance		10	10										armo	misl						glov					0	0
of Stability	0	1	1	9		6					17	balance		20	20									dyel	armo	misl						glov					0	0
of Dexterity	1	1	1	1		1				4	17	dex		1	2										amul	miss	circ										0	0
of Skill	1	1	1	11		8				3	17	dex		3	5										amul	miss	circ										0	0
of Accuracy	1	1	1	27		20				3	17	dex		6	9										amul	miss	circ										0	0
of Precision	1	1	1	43		35				3	17	dex		10	15										amul	miss	circ										0	0
of Perfection	1	1	1	59		51				3	17	dex		16	20									dgld	amul	miss	circ										0	0
of Nirvana	100	1		72		64				3	17	dex		21	30									dgld	amul	miss	circ	misl									0	0
of Dexterity	1	1	1	6		4				4	17	dex		1	2										ring	glov											0	0
of Skill	1	1	1	22		16				3	17	dex		3	5										ring	glov											0	0
of Accuracy	1	1	1	39		31				3	17	dex		6	9										ring	glov											0	0
of Precision	1	1	1	56		48				3	17	dex		10	15										ring	glov											0	0
of Perfection	100	1		75		67				3	17	dex		16	20									dgld	ring	glov											0	0
of Dexterity	1	1	1	13		9				3	17	dex		2	3										tors	boot						glov					0	0
of Skill	1	1	1	34		26				3	17	dex		4	5										tors	boot						glov					0	0
of Accuracy	1	1	1	46		38				3	17	dex		6	9										tors	boot						glov					0	0
of Precision	100	1		60		52				3	17	dex		10	15									dgld	tors	boot						glov					0	0
of Daring	100	1	1	7		5				3	17	dex		1	3										jewl												0	0
of Daring	100	1	1	19		14				3	17	dex		4	6										jewl												0	0
of Daring	100	1	1	36		28				3	17	dex		7	9										jewl												0	0
of Dexterity	1	1	1	1	12	1				4	17	dex		1	1										boot	glov											0	0
of Dexterity	1	1	1	1	5	1				4	17	dex		1	1										ring												0	0
of Balance	1	1	1	5		3				4	18	balance		10	10										armo							glov					0	0
of Equilibrium	1	1	1	9		6				4	18	balance		17	17										tors	belt	shld										0	0
of Stability	1	1	1	18		13				4	18	balance		24	24									dyel	tors	belt											0	0
of Balance	100	1	1	1		1				4	18	balance		12	12										lcha												0	0
of Balance	100	1	1	19		14				4	18	balance		8	8										mcha												0	0
of Balance	100	1	1	37		29				4	18	balance		5	5									dyel	scha												0	0
of Truth	100	1	1	44		36				4	18	balance		7	7										jewl												0	0
of Regeneration	0	1	1	10		7					19	regen		3	3										scep	belt	ring	amul	misl								0	0
of Regeneration	0	1	1	40		30					19	regen		3	3										shld	glov	misl										0	0
of Regeneration	0	1	1	70		52					19	regen		3	3										tors	helm	weap	boot				scep					0	0
of Regrowth	0	1	1	17		12					19	regen		5	5									cred	scep	amul	misl										0	0
of Regrowth	0	1	1	55		41					19	regen		5	5									cred	belt	ring											0	0
of Regeneration	1	1	1	10		7				4	19	regen		3	5										scep	belt	ring	amul	circ								0	0
of Regeneration	1	1	1	40		30				4	19	regen		3	5										shld	glov											0	0
of Regeneration	1	1	1	70		52				4	19	regen		3	5										tors	weap	boot					scep					0	0
of Regrowth	1	1	1	17		12				4	19	regen		6	10									cred	scep	amul	circ										0	0
of Regrowth	1	1	1	55		41				4	19	regen		6	9									cred	belt	ring											0	0
of Revivification	100	1		38		30				4	19	regen		11	15									cred	scep	amul	circ										0	0
of Honor	100	1	1	47		35				4	19	regen		1	4										jewl												0	0
of Regeneration	1	1	1	1	9	1				3	19	regen		2	2										amul	circ	orb										0	0
of Vileness	0	1	1	9		6					20	noheal		1	1										mele	misl						scep					0	0
of Vileness	1	1	1	9		6				3	20	noheal		1	1										mele							rod	orb				0	0
of Greed	1	1	1	1		1				4	21	gold%		25	40										ring	amul	circ										0	0
of Wealth	1	1	1	17		12				4	21	gold%		41	80									lgld	boot	glov	belt	amul	circ								0	0
of Greed	100	1	1	1		1				4	21	gold%		10	20										lcha												0	0
of Greed	100	1	1	7		5				4	21	gold%		21	30										lcha												0	0
of Greed	100	1	1	19		14				4	21	gold%		31	40										lcha												0	0
of Greed	100	1	1	1		5				4	21	gold%		5	10										mcha												0	0
of Greed	100	1	1	20		15				4	21	gold%		11	22										mcha												0	0
of Greed	100	1	1	1		15				4	21	gold%		5	10										scha												0	0
of Avarice	100	1	1	1		1				4	21	gold%		10	30										jewl												0	0
