code	*Enabled	func1	stat1	set1	val1	func2	stat2	set2	val2	func3	stat3	set3	val3	func4	stat4	set4	val4	func5	stat5	set5	val5	func6	stat6	set6	val6	func7	stat7	set7	val7	*Tooltip	*Parameter	*Min	*Max	*Notes	*eol
res-all-max	1	1	maxfireresist			3	maxlightresist			3	maxcoldresist			3	maxpoisonresist																	Min %	Max %		0
fire-min	1	1	firemindam																											+# to Minimum Fire Damage		Min #	Max #		0
fire-max	1	1	firemaxdam																											+# to Maximum Fire Damage		Min #	Max #		0
dmg-fire	1	15	firemindam			16	firemaxdam																							Adds #-# Fire Damage		Min #	Max #		0
ltng-min	1	1	lightmindam																											+# to Minimum Lightning Damage		Min #	Max #		0
ltng-max	1	1	lightmaxdam																											+# to Maximum Lightning Damage		Min #	Max #		0
dmg-ltng	1	15	lightmindam			16	lightmaxdam																							Adds #-# Lightning Damage		Min #	Max #		0
mag-min	1	1	magicmindam																											"""+# to Minimum Magic Damage"""		Min #	Max #		0
mag-max	1	1	magicmaxdam																											"""+# to Maximum Magic Damage"""		Min #	Max #		0
dmg-mag	1	15	magicmindam			16	magicmaxdam																							Adds #-# Magic Damage		Min #	Max #		0
cold-min	1	1	coldmindam																											+# to Minimum Cold Damage		Min #	Max #		0
cold-max	1	1	coldmaxdam																											+# to Maximum Cold Damage		Min #	Max #		0
cold-len	1	1	coldlength																													Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-cold	1	15	coldmindam			16	coldmaxdam			17	coldlength																			Adds #-# Cold Damage	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0
pois-min	1	1	poisonmindam																											+# to Minimum Poison Damage		Min #	Max #		0
pois-max	1	1	poisonmaxdam																											+# to Maximum Poison Damage		Min #	Max #		0
pois-len	1	1	poisonlength																													Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-pois	1	15	poisonmindam			16	poisonmaxdam			17	poisonlength																			Adds #-# Poison Damage Over # Seconds	Length (Frames)	Min #	Max #	# of Frames (25 Frames = 1 Second)	0
dmg-elem	1	15	firemindam			16	firemaxdam			15	lightmindam			16	lightmaxdam			15	coldmindam			16	coldmaxdam			17	coldlength			Adds #-# Fire/Lightning/Cold Damage		Min #	Max #		0
dmg-elem-min	1	1	firemindam			3	lightmindam			3	coldmindam																			+# to Minimum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
dmg-elem-max	1	1	firemaxdam			3	lightmaxdam			3	coldmaxdam			17	coldlength															+# to Maximum Fire/Lightning/Cold Damage		Min #	Max #	Currently Not Used	0
manasteal	1	1	manadrainmindam																											#% Mana stolen per hit		Min #	Max #		0
lifesteal	1	1	lifedrainmindam																											#% Life stolen per hit		Min #	Max #		0
dualsteal	1	1	lifedrainmindam			1	manadrainmindam																							#% Life /Mana stolen per hit		Min #	Max #		0
dur	1	1	maxdurability																											Durability: # of #		Min #	Max #		0
regen	1	1	hpregen																											Replenish Life +#		Min #	Max #		0
dur%	1	13	item_maxdurability_percent																											Increase Maximum Durability #%		Min %	Max %		0
mana%	1	1	item_maxmana_percent																											Increase Maximum Mana #%		Min %	Max %		0
hp%	1	1	item_maxhp_percent																											Increase Maximum Life #%		Min %	Max %		0
dual%	1	1	item_maxmana_percent			1	item_maxhp_percent																							Max HP and Max Mana %		min	max		0
thorns	1	1	item_attackertakesdamage																											Attacker Takes Damage of #		Min #	Max #		0
gold%	1	1	item_goldbonus																											#% Extra Gold from Monsters		Min %	Max %		0
mag%	1	1	item_magicbonus																											#% Better Chance of Getting Magic Items		Min %	Max %		0
knock	1	1	item_knockback																											Knockback		1	1		0
time	1	1	item_timeduration																													Min #	Max #	Currently Not Used	0
ama	1	21	item_addclassskills		0																									+# to Amazon Skill Levels		Min #	Max #		0
sor	1	21	item_addclassskills		1																									+# to Sorceress Skill Levels		Min #	Max #		0
nec	1	21	item_addclassskills		2																									+# to Necromancer Skill Levels		Min #	Max #		0
pal	1	21	item_addclassskills		3																									+# to Paladin Skill Levels		Min #	Max #		0
bar	1	21	item_addclassskills		4																									+#  to Barbarian Skill Levels		Min #	Max #		0
dru	1	21	item_addclassskills		5																									+# to Druid Skill Levels		Min #	Max #		0
ass	1	21	item_addclassskills		6																									+# to Assassin Skill Levels		Min #	Max #		0
randclassskill	1	36	item_addclassskills		3																									+# to [Class] Skill Levels		Min Class ID	Max Class ID	val1 = # of Skill levels	0
addxp	1	1	item_addexperience																											+#% to Experience Gained		Min %	Max %		0
heal-kill	1	1	item_healafterkill																											+# Life after each Kill		Min #	Max #		0
cheap	1	1	item_reducedprices																											Reduces all Vendor Prices #%		Min %	Max %		0
herb	1	1	item_doubleherbduration																													Min #	Max #	Currently Not Used	0
light	1	1	item_lightradius																											+# to Light Radius		Min #	Max #		0
color	1	1	item_lightcolor	1																												Min #	Max #	Currently Not Used	0
ease	1	1	item_req_percent																											Requirements -#%		Min %	Max %		0
levelreq	1	1	item_levelreq																											Required Level: #		Min #	Max #		0
swing	1	8	item_fasterattackrate																											+#% Increased Attack Speed		Min %	Max %		0
move	1	8	item_fastermovevelocity																											+#% Faster Run/Walk		Min %	Max %		0
oskill	1	22	item_nonclassskill																											+# to [Skill]	Skill	Min #	Max #		0
state	1	24	state																												State	1	1	Applies a State on the unit	0
balance	1	8	item_fastergethitrate																											+#% Faster Hit Recovery		Min %	Max %		0
blockrate	1	8	item_fasterblockrate																											+#% Faster Block Rate		Min %	Max %		0
cast	1	8	item_fastercastrate																											+#% Faster Cast Rate		Min %	Max %		0
skill	1	22	item_singleskill																											+# to [Skill] ([Class] only)	Skill	Min #	Max #		0
skill-rand	1	12	item_singleskill																											+# to [Skill] ([Class] only)	Skill Level	Min Skill ID	Max Skill ID		0
rip	1	1	item_restinpeace																											Slain Monsters Rest in Peace		1	1		0
res-curse-len	1	1	curse_resistance																																0
res-pois-len	1	1	item_poisonlengthresist																											Poison Length Reduced by #%		Min %	Max %		0
dmg	1	1	item_normaldamage																											Damage +#		Min #	Max #		0
howl	1	1	item_howl																											Hit Causes Monster to Flee #%		Min %/128	Max %/128		0
stupidity	1	1	item_stupidity																											Hit Blinds Target +#		Min #	Max #		0
dmg-to-mana	1	1	item_damagetomana																											#% Damage Taken Goes To Mana		Min %	Max %		0
ignore-ac	1	1	item_ignoretargetac																											Ignore Target's Defense		1	1		0
reduce-ac	1	1	item_fractionaltargetac																											-#% Target Defense		Min #	Max #		0
noheal	1	1	item_preventheal																											Prevent Monster Heal		1	1		0
half-freeze	1	1	item_halffreezeduration																											Half Freeze Duration		1	1		0
att%	1	1	item_tohit_percent																											#% Bonus to Attack Rating		Min %	Max %		0
dmg-ac	1	1	item_damagetargetac																											-# to Monster Defense Per Hit		Min #	Max #		0
dmg-demon	1	1	item_demondamage_percent																											+#% Damage to Demons		Min %	Max %		0
dmg-undead	1	1	item_undeaddamage_percent																											+#% Damage to Undead		Min %	Max %		0
att-demon	1	1	item_demon_tohit																											+# to Attack Rating against Demons		Min #	Max #		0
att-undead	1	1	item_undead_tohit																											+# to Attack Rating against Undead		Min #	Max #		0
throw	1	1	item_throwable																													1	1	Currently Not Used	0
fireskill	1	21	item_elemskill		1	24	item_fireskill																							+# to Fire Skills		Min #	Max #		0
lightskill	1	21	item_elemskill		2	24	item_lightskill																							"""+# to Lightning Skills"""		Min #	Max #		0
coldskill	1	21	item_elemskill		4	24	item_coldskill																							"""+# to Cold Skills"""		Min #	Max #		0
poisskill	1	21	item_elemskill		5	24	item_poisskill																							"""+# to Poison Skills"""		Min #	Max #		0
magskill	1	21	item_elemskill		3	24	item_magskill																							"""+# to Magic Skills"""		Min #	Max #		0
allskills	1	1	item_allskills																											+# to All Skills		Min #	Max #		0
light-thorns	1	1	item_attackertakeslightdamage																											Attacker Takes Lightning Damage of #		Min #	Max #		0
freeze	1	1	item_freeze																											Freezes Target +#		Min #	Max #		0
openwounds	1	1	item_openwounds																											#% Chance of Open Wounds		Min %	Max %		0
crush	1	1	item_crushingblow																											#% Chance of Crushing Blow		Min %	Max %		0
kick	1	1	item_kickdamage																											+# Kick Damage		Min %	Max %		0
mana-kill	1	1	item_manaafterkill																											+# to Mana after each Kill		Min #	Max #		0
demon-heal	1	1	item_healafterdemonkill																											+# Life after each Demon Kill		Min #	Max #		0
bloody	1	1	item_extrablood																													Min #	Max #	Visuals Only	0
deadly	1	1	item_deadlystrike																											#% Deadly Strike		Min #	Max #		0
abs-fire%	1	1	item_absorbfire_percent																											+# Fire Absorb		Min #	Max #		0
abs-fire	1	1	item_absorbfire																											Fire Absorb #%		Min %	Max %		0
abs-ltng%	1	1	item_absorblight_percent																											+# Lightning Absorb		Min #	Max #		0
abs-ltng	1	1	item_absorblight																											Lightning Absorb #%		Min %	Max %		0
abs-mag%	1	1	item_absorbmagic_percent																											+# Magic Absorb		Min #	Max #		0
abs-mag	1	1	item_absorbmagic																											Magic Absorb #%		Min %	Max %		0
abs-cold%	1	1	item_absorbcold_percent																											+# Cold Absorb		Min #	Max #		0
abs-cold	1	1	item_absorbcold																											Cold Absorb #%		Min %	Max %		0
ethereal	1	23																												Ethereal		1	1		0
slow	1	1	item_slow																											Slows Target by #%		Min #	Max #		0
aura	1	22	item_aura																											Level # [Skill] Aura When Equipped	Skill	Min #	Max #		0
indestruct	1	20																												Indestructible		1	1		0
nofreeze	1	1	item_cannotbefrozen																											Cannot Be Frozen		1	1		0
stamdrain	1	1	item_staminadrainpct																											#% Slower Stamina Drain		Min #	Max #		0
reanimate	1	24	item_reanimate																											Reanimate As: [Returned]	monstats.txt hcIdx	Min %	Max %		0
pierce	1	1	item_pierce																											Piercing Attack		Min %	Max %		0
magicarrow	1	1	item_magicarrow																											Fires Magic Arrows		Min #	Max #		0
explosivearrow	1	1	item_explosivearrow																											Fires Explosive Arrows or Bolts		Min #	Max #		0
dmg-throw	1	15	item_throw_mindamage			16	item_throw_maxdamage																									Min #	Max #	Currently Not Used	0
att-mon%	1	24	attack_vs_montype																											#% to Attack Rating versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
dmg-mon%	1	24	damage_vs_montype																											#% to Damage versus [Monster Type]	monstats.txt MonType	Min #	Max #	Currently Not Used	0
fade	1	17	fade																													Min #	Max #	Visuals Only	0
skilltab	1	10	item_addskill_tab																											+# to [Class Skill Tab] Skills	Class Skill Tab ID	Min #	Max #	"[Class Skill Tab ID] = (Amazon = 0-2, Sorceress = 3-5, Necromancer = 6-8, Paladin = 9-11, Barbarian = 12-14, Druid = 15-17,  Assassin = 18-20)"	0
sock	1	14	item_numsockets																											Socketed (#)		Min #	Max #		0
att-skill	1	11	item_skillonattack																											#% Chance to cast level # [Skill] on attack	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
kill-skill	1	11	item_skillonkill																											#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
death-skill	1	11	item_skillondeath																											#% Chance to cast level # [Skill] when you Die	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
hit-skill	1	11	item_skillonhit																											#% Chance to cast level # [Skill] on striking	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
levelup-skill	1	11	item_skillonlevelup																											#% Chance to cast level # [Skill] when you Level-Up	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
gethit-skill	1	11	item_skillongethit																											#% Chance to cast level # [Skill] when struck	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
charged	1	19	item_charged_skill																											Level # [Skill] (#/# Charges)	Skill	# of Max Charges	Skill Level		0
ac/lvl	1	17	item_armor_perlevel																											+# Defense (Based on Character Level)	ac/lvl (8ths)				0
ac%/lvl	1	17	item_armorpercent_perlevel																											+#% Enhanced Defense (Based on Character Level)	#/8 per Level				0
hp/lvl	1	17	item_hp_perlevel																											+# to Life (Based on Character Level)	#/8 per Level				0
mana/lvl	1	17	item_mana_perlevel																											+# to Mana (Based on Character Level)	#/8 per Level				0
dmg/lvl	1	17	item_maxdamage_perlevel																											+# to Maximum Damage (Based on Character Level)	#/8 per Level				0
dmg%/lvl	1	17	item_maxdamage_percent_perlevel																											+#% Enhanced Maximum Damage (Based on Character Level)	#/8 per Level				0
str/lvl	1	17	item_strength_perlevel																											+# to Strength (Based on Character Level)	#/8 per Level				0
dex/lvl	1	17	item_dexterity_perlevel																											+# to Dexterity (Based on Character Level)	#/8 per Level				0
enr/lvl	1	17	item_energy_perlevel																											+# to Energy (Based on Character Level)	#/8 per Level			Currently Not Used	0
vit/lvl	1	17	item_vitality_perlevel																											+# to Vitality (Based on Character Level)	#/8 per Level				0
att/lvl	1	17	item_tohit_perlevel																											+# to Attack Rating (Based on Character Level)	#/2 per Level				0
att%/lvl	1	17	item_tohitpercent_perlevel																											#% Bonus to Attack Rating (Based on Character Level)	#/2 per Level				0
dmg-cold/lvl	1	17	item_cold_damagemax_perlevel																											+# to Maximum Cold Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-fire/lvl	1	17	item_fire_damagemax_perlevel																											+# to Maximum Fire Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-ltng/lvl	1	17	item_ltng_damagemax_perlevel																											+# to Maximum Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
dmg-pois/lvl	1	17	item_pois_damagemax_perlevel																											+# to Maximum Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
res-cold/lvl	1	17	item_resist_cold_perlevel																											Cold Resist +#% (Based on Character Level)	#/8 per Level				0
res-fire/lvl	1	17	item_resist_fire_perlevel																											Fire Resist +#% (Based on Character Level)	#/8 per Level				0
res-ltng/lvl	1	17	item_resist_ltng_perlevel																											Lightning Resist +#% (Based on Character Level)	#/8 per Level				0
res-pois/lvl	1	17	item_resist_pois_perlevel																											Poison Resist +#% (Based on Character Level)	#/8 per Level				0
res-mag/lvl	1	17	item_resist_mag_perlevel																											Poison Resist +#% (Based on Character Level)	#/8 per Level				0
abs-cold/lvl	1	17	item_absorb_cold_perlevel																											Absorbs Cold Damage (Based on Character Level)	#/8 per Level				0
abs-fire/lvl	1	17	item_absorb_fire_perlevel																											Absorbs Fire Damage (Based on Character Level)	#/8 per Level				0
abs-ltng/lvl	1	17	item_absorb_ltng_perlevel																											Absorbs Lightning Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
abs-pois/lvl	1	17	item_absorb_pois_perlevel																											Absorbs Poison Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
thorns/lvl	1	17	item_thorns_perlevel																											Attacker Takes Damage of # (Based on Character Level)	#/8 per Level				0
gold%/lvl	1	17	item_find_gold_perlevel																											#% Extra Gold from Monsters (Based on Character Level)	#/8 per Level				0
mag%/lvl	1	17	item_find_magic_perlevel																											#% Better Chance of Getting Magic Items (Based on Character Level)	#/8 per Level				0
regen-stam/lvl	1	17	item_regenstamina_perlevel																											Heal Stamina Plus #% (Based on Character Level)	#/8 per Level				0
stam/lvl	1	17	item_stamina_perlevel																											+# Maximum Stamina (Based on Character Level)	#/8 per Level				0
dmg-dem/lvl	1	17	item_damage_demon_perlevel																											+#% Damage to Demons (Based on Character Level)	#/8 per Level				0
dmg-und/lvl	1	17	item_damage_undead_perlevel																											+#% Damage to Undead (Based on Character Level)	#/8 per Level				0
att-dem/lvl	1	17	item_tohit_demon_perlevel																											+# to Attack Rating against Demons (Based on Character Level)	#/2 per Level				0
att-und/lvl	1	17	item_tohit_undead_perlevel																											+# to Attack Rating against Undead (Based on Character Level)	#/2 per Level				0
crush/lvl	1	17	item_crushingblow_perlevel																											#% Chance of Crushing Blow (Based on Character Level)	#/8 per Level			Currently Not Used	0
wounds/lvl	1	17	item_openwounds_perlevel																											#% Chance of Open Wounds (Based on Character Level)	#/8 per Level			Currently Not Used	0
kick/lvl	1	17	item_kick_damage_perlevel																											+# Kick Damage (Based on Character Level)	#/8 per Level			Currently Not Used	0
deadly/lvl	1	17	item_deadlystrike_perlevel																											#% Deadly Strike (Based on Character Level)	#/8 per Level				0
rep-dur	1	17	item_replenish_durability																											Repairs 1 durability in # seconds	Repair Speed			Repair 1 Durability every 100/[Repair Speed] seconds	0
rep-quant	1	17	item_replenish_quantity																											Replenishes quantity	Repair Speed			Replenish 1 Quantity every 100/[Repair Speed] seconds	0
stack	1	1	item_extra_stack																											Increased Stack Size		Min #	Max #		0
wounds/str	1	17	item_openwounds_perstr			1	item_openwounds																								(8ths)				0
deadly/dex	1	17	item_deadlystrike_perdex																												(8ths)				0
deadly/str	1	17	item_deadlystrike_perstr																												(8ths)				0
ac/str	1	17	item_armor_perstr																											armour per strength	(8ths)			armour only	0
swing/enr	1	17	item_fasterattackrate_perenr																												(8ths)				0
swing/str	1	17	item_fasterattackrate_perstr																												(8ths)				0
cast/enr	1	17	item_fastercastrate_perenr																												(8ths)				0
crush/str	1	17	item_crushingblow_perstr																											+% Chance of Crushing Blow per Player Level	(8ths)			none	0
wounds/dex	1	17	item_openwounds_perdex			1	item_openwounds																								(8ths)				0
str%	1	1	item_strength_percent																											increase strength by percent					0
dex%	1	1	item_dexterity_percent																											increas dexterity by percent					0
vit%	1	1	item_vitality_percent																											increas vitality by percent					0
enr%	1	1	item_energy_percent																											increas energy by percent					0
all-stats%	1	1	item_strength_percent			1	item_dexterity_percent			1	item_vitality_percent			1	item_energy_percent															increase All Stats by percent					0
splash	1	11	item_splash																											50% Splash Melee Damage					0
fire-thorns	1	1	item_attackertakesfiredamage																											Attacker Takes Fire Damage of #		Min #	Max #		0
heal-gethit	1	1	life_per_gethit																											life gained after getting hit		min	max		0
heal-perhit	1	1	life_per_hit																											life gained after each hit		min	max		0
mana-gethit	1	1	mana_per_gethit																											mana gained after getting hit		min	max		0
mana-perhit	1	1	mana_per_hit																											mana gained after each hit		min	max		0
dual-gethit	1	1	life_per_gethit			1	mana_per_gethit																							life and Mana gained When hit		min	max		0
dual-perhit	1	1	life_per_hit			1	mana_per_hit																							life and Mana gained per hit		min	max		0
ext-missile	1	1	ex_missiles																											more missiles		min	max	none	0
cold-thorns	1	1	item_attackertakescolddamage																											Attacker Takes Cold Damage of #		Min #	Max #		0
ext-att	1	1	ex_attacks																											more attacks		min	max	none	0
res-curse/enr	1	17	curse_resistance_perenr																																0
sum-dmg	1	1	sum_dmg_perc																											increase summ damages		min	max	none	0
sum-speed	1	1	sum_speed																											increases summon movement speed		min	max	none	0
sum-ex	1	1	sum_ex																											more minions		min	max	none	0
sum-hp	1	1	sum_hp_perc																											increse summ max hp		min	max	none	0
sum-cr	1	1	sum_cr																											increase minion attack rating and armor		min	max	none	0
sum-all	1	1	sum_cr			1	sum_hp_perc			1	sum_dmg_perc																			Increase all Summon Attributes		min	max	none	0
cdr	1	1	item_cooldownreduction																											Cool Down Reduction %		min	max	Reduces Casting Delay	0
pierce-cold	1	1	passive_cold_pierce																											-#% to Enemy Cold Resistance		Min %	Max %		0
pierce-fire	1	1	passive_fire_pierce																											-#% to Enemy Fire Resistance		Min %	Max %		0
pierce-ltng	1	1	passive_ltng_pierce																											-#% to Enemy Lightning Resistance		Min %	Max %		0
pierce-pois	1	1	passive_pois_pierce																											-#% to Enemy Poison Resistance		Min %	Max %		0
pierce-elem	1	1	passive_fire_pierce			1	passive_ltng_pierce			1	passive_cold_pierce																			-#% to Enemy Cold/Fire/Light Resistance		Min %	Max %		0
pierce-all	1	1	passive_pois_pierce			1	passive_fire_pierce			1	passive_ltng_pierce			1	passive_cold_pierce															-#% to Enemy Cold/Fire/Light/Pois Resistance		Min %	Max %		0
extra-fire	1	1	passive_fire_mastery																											+#% to Fire Skill Damage		Min %	Max %		0
extra-ltng	1	1	passive_ltng_mastery																											+#% to Lightning Skill Damage		Min %	Max %		0
extra-cold	1	1	passive_cold_mastery																											+#% to Cold Skill Damage		Min %	Max %		0
extra-pois	1	1	passive_pois_mastery																											+#% to Poison Skill Damage		Min %	Max %		0
extra-mag	1	1	passive_mag_mastery																											+#% to Magic Skill Damage		Min %	Max %		0
extra-elem	1	1	passive_fire_mastery			1	passive_ltng_mastery			1	passive_cold_mastery																			+#% to Fire/Cold/Light Skill Damage		Min %	Max %		0
extra-nature	1	1	passive_pois_mastery			1	passive_mag_mastery																							+#% to Poison/Magic Skill Damage		Min %	Max %		0
hidden-vit	1	1	vitality_hidden																											+# to Vitality		Min #	Max #		0
bootstat	1	1	armorclass			8	item_fastermovevelocity																							AC and FRW		min	max	save stats for boots	0
shieldstat	1	1	toblock			8	item_fasterblockrate																							Block% and FBR		min	max	save stats for shield	0
caststat	1	1	manarecoverybonus			8	item_fastercastrate																							Regen Mana and FCR		min	max	save stat for caster items	0
glovestat	1	8	item_fasterattackrate			2	item_armor_percent																							IAS and AC%		min	max	Save stat for Gloves	0
beltstat	1	8	item_fastergethitrate			1	maxstamina																							FHR and Max Stamina		min	max	Stat for Belts	0
slow/dex	1	17	item_slow_perdex																											Slow target based on Dexerity	(8ths)			none	0
pierce/dex	1	17	item_pierce_perdex																											Piercing Attack absed on Dexterity	(8ths)			none	0
treasure	1	17	chest_treasure																											TC: +X		min	max	none	0
enhancelow	1	17	enhance_low																											EnhanceCheck		min	max	none	0
enhancehigh	1	17	enhance_high																											EnhanceMAX				none	0
score	1	17	score_tracker																											Unique Cores Extracted		min	max	none	0
ucore	1	17	ucore_tracker																											Unique Cores Extracted		min	max	none	0
portals	1	17	portals_unlock																											Portal Unlock		min	max	none	0
all-zero-display	1	1	resmax_display_all_zero																											All Resistance are set at 0					0
res-all-hidden	1	1	magicresist_hidden			3	fireresist_hidden			3	lightresist_hidden			3	coldresist_hidden			3	poisonresist_hidden			3	hiddenresist_dummy												0
res-all-max-hidden	1	1	maxmagicresist_hidden			3	maxfireresist_hidden			3	maxlightresist_hidden			3	maxcoldresist_hidden			3	maxpoisonresist_hidden			3	hiddenresist_dummy												0
kill-tracker	1	17	kill_display																															none	0
skill-kill	1	11	item_killregister																											#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
death-tracker	1	17	death_display																															none	0
skill-death	1	11	item_deathregister																											#% Chance to cast level # [Skill] when you Kill an Enemy	Skill	"% Chance (If 0, then default to 5)"	Skill Level		0
body-level	1	17	body_level																															none	0
smite	1	17	smite																											Smite: #		min	max	none	0
bone_armor	1	17	boneadded																											Bone Armor Max: #		min	max	none	0
incant-dur	1	17	incant_duration																											Curse Duration:#		min	max	none	0
incant-rad	1	17	incant_radius																											Curse Radius: #		min	max	none	0
noconsume	1	1	item_noconsume																											+#% to not Consume Quantity		Min %	Max %		0
GB-Total	1	17	GB_Total																															none	0
RB-Low	1	17	RB_Low																																0
RB-Mid	1	17	RB_Mid																																0
RB-High	1	17	RB_High																																0
KB-Terror	1	17	KB_Terror																																0
KB-Hate	1	17	KB_Hate																																0
KB-Dest	1	17	KB_Dest																																0
OB-Diablo	1	17	OB_Diablo																																0
OB-Baal	1	17	OB_Baal																																0
OB-Meph	1	17	OB_Meph																																0
CD-White	1	17	CD_White																															none	0
CD-Black	1	17	CD_Black																															none	0
CD-Blue	1	17	CD_Blue																															none	0
CD-Red	1	17	CD_Red																															none	0
CD-Green	1	17	CD_Green																															none	0
CD-Yellow	1	17	CD_Yellow																															none	0
CD-Purple	1	17	CD_Purple																															none	0
CD-Tracker	1	17	CD_Tracker																															none	0
ravendmg	1	1	item_ravendamage																											Increase Rave Damage by: #%		min	max	none	0
feralsteal	1	1	item_feralsteal																											Increase Feral Rage Max Leech By #%		min	max	none	0
maulsteal	1	1	item_maulsteal																											Increase Maul Max Leech By #%		min	max	none	0
Item-Enhanced	1	17	Item_Enhanced																															none	0
Soul-Tracker	1	17	Soul_Tracker																															none	0
Soul-Level	1	17	Soul_Level																															none	0
Soul-Ama	1	17	Soul_Ama																															none	0
Soul-Sor	1	17	Soul_Sor																															none	0
Soul-Nec	1	17	Soul_Nec																															none	0
Soul-Pal	1	17	Soul_Pal																															none	0
Soul-Bar	1	17	Soul_Bar																															none	0
Soul-Dru	1	17	Soul_Dru																															none	0
Soul-Ass	1	17	Soul_Ass																															none	0
quant	1	17	quantity																																0
RW-Tracker	1	17	RW_Tracker																																0
pierce-immunity-cold	1	1	item_pierce_cold_immunity																											Monster Cold Immunity is Sundered		Min %	Max %		0
pierce-immunity-fire	1	1	item_pierce_fire_immunity																											Monster Fire Immunity is Sundered		Min %	Max %		0
pierce-immunity-light	1	1	item_pierce_light_immunity																											Monster Lightning Immunity is Sundered		Min %	Max %		0
pierce-immunity-poison	1	1	item_pierce_poison_immunity																											Monster Poison Immunity is Sundered		Min %	Max %		0
pierce-immunity-damage	1	1	item_pierce_damage_immunity																											Monster Physical Immunity is Sundered		Min %	Max %		0
pierce-immunity-magic	1	1	item_pierce_magic_immunity																											Monster Magic Immunity is Sundered		Min %	Max %		0
