Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax	equivalentcharclass
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	patreon1	patreon33	2500	120	438	16	378	18	87	9	127	18	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial1	5	MercAura1	1	1	0	8	10	Multiple Shot	4	1	0	16	10	Hail of Arrows	4	1	0	16	10	Curtain of Fire	4	1	0	16	10	Unholy Amalgamation	4	1	0	16	10	Pierce	1	1	0	16	10	1	1	1	5000	ama
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	patreon1	patreon33	2500	125	438	16	378	18	87	9	127	18	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial2	5	MercAura1	1	1	0	8	10	Multiple Shot	4	1	0	16	10	Hail of Arrows	4	1	0	16	10	Curtain of Fire	4	1	0	16	10	Unholy Amalgamation	4	1	0	16	10	Pierce	1	1	0	16	10	1	1	1	5000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	3	150	patreon1	patreon33	2500	100	45	9	15	8	35	9	45	18	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	5	MercAura1	1	1	0	1	10	Multiple Shot	4	1	0	1	10	Hail of Arrows	4	1	0	1	10	Curtain of Fire	4	1	0	1	10	Unholy Amalgamation	4	1	0	1	10	Pierce	1	1	0	1	10	1	1	1	5000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	36	150	patreon1	patreon33	2500	110	342	18	279	15	77	9	111	18	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	5	MercAura1	1	1	0	1	10	Multiple Shot	4	1	0	1	10	Hail of Arrows	4	1	0	1	10	Curtain of Fire	4	1	0	1	10	Unholy Amalgamation	4	1	0	1	10	Pierce	1	1	0	1	10	1	1	1	5000	ama
Rogue Scout	Fire - Normal	100	0	271	1	1	67	150	patreon1	patreon33	2500	120	900	30	744	23	116	9	173	18	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	5	MercAura1	1	1	0	1	10	Multiple Shot	4	1	0	1	10	Hail of Arrows	4	1	0	1	10	Curtain of Fire	4	1	0	1	10	Unholy Amalgamation	4	1	0	1	10	Pierce	1	1	0	1	10	1	1	1	5000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	3	150	patreon1	patreon33	2500	105	45	9	15	8	35	9	45	18	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	5	MercAura1	1	1	0	1	10	Multiple Shot	4	1	0	1	10	Hail of Arrows	4	1	0	1	10	Curtain of Fire	4	1	0	1	10	Unholy Amalgamation	4	1	0	1	10	Pierce	1	1	0	1	10	1	1	1	5000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	36	150	patreon1	patreon33	2500	115	342	18	279	15	77	9	111	18	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	5	MercAura1	1	1	0	1	10	Multiple Shot	4	1	0	1	10	Hail of Arrows	4	1	0	1	10	Curtain of Fire	4	1	0	1	10	Unholy Amalgamation	4	1	0	1	10	Pierce	1	1	0	1	10	1	1	1	5000	ama
Rogue Scout	Ice - Normal	100	1	271	1	1	67	150	patreon1	patreon33	2500	125	900	30	744	23	116	9	173	18	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	5	MercAura1	1	1	0	1	10	Multiple Shot	4	1	0	1	10	Hail of Arrows	4	1	0	1	10	Curtain of Fire	4	1	0	1	10	Unholy Amalgamation	4	1	0	1	10	Pierce	1	1	0	1	10	1	1	1	5000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	36	150	patreon1	patreon33	2500	110	342	18	279	15	77	9	111	18	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	5	MercAura1	1	1	0	4	10	Multiple Shot	4	1	0	8	10	Hail of Arrows	4	1	0	8	10	Curtain of Fire	4	1	0	8	10	Unholy Amalgamation	4	1	0	8	10	Pierce	1	1	0	8	10	1	1	1	5000	ama
Rogue Scout	Fire - Nightmare	100	2	271	1	2	67	150	patreon1	patreon33	2500	120	900	30	744	23	116	9	173	18	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	5	MercAura1	1	1	0	4	10	Multiple Shot	4	1	0	8	10	Hail of Arrows	4	1	0	8	10	Curtain of Fire	4	1	0	8	10	Unholy Amalgamation	4	1	0	8	10	Pierce	1	1	0	8	10	1	1	1	5000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	36	150	patreon1	patreon33	2500	115	342	18	279	15	77	9	111	18	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	5	MercAura1	1	1	0	4	10	Multiple Shot	4	1	0	8	10	Hail of Arrows	4	1	0	8	10	Curtain of Fire	4	1	0	8	10	Unholy Amalgamation	4	1	0	8	10	Pierce	1	1	0	8	10	1	1	1	5000	ama
Rogue Scout	Ice - Nightmare	100	3	271	1	2	67	150	patreon1	patreon33	2500	125	900	30	744	23	116	9	173	18	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	5	MercAura1	1	1	0	4	10	Multiple Shot	4	1	0	8	10	Hail of Arrows	4	1	0	8	10	Curtain of Fire	4	1	0	8	10	Unholy Amalgamation	4	1	0	8	10	Pierce	1	1	0	8	10	1	1	1	5000	ama
Rogue Scout	Fire - Hell	100	4	271	1	3	67	150	patreon1	patreon33	2500	120	900	30	744	23	116	9	173	18	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	5	MercAura1	1	1	0	8	10	Multiple Shot	4	1	0	16	10	Hail of Arrows	4	1	0	16	10	Curtain of Fire	4	1	0	16	10	Unholy Amalgamation	4	1	0	16	10	Pierce	1	1	0	16	10	1	1	1	5000	ama
Rogue Scout	Ice - Hell	100	5	271	1	3	67	150	patreon1	patreon33	2500	125	900	30	744	23	116	9	173	18	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	5	MercAura1	1	1	0	8	10	Multiple Shot	4	1	0	16	10	Hail of Arrows	4	1	0	16	10	Curtain of Fire	4	1	0	16	10	Unholy Amalgamation	4	1	0	16	10	Pierce	1	1	0	16	10	1	1	1	5000	ama
Desert Mercenary	Comb-Normal	0	6	338	2	1	9	198	patreonb1	patreonb33	2500	110	120	15	45	18	57	16	40	11	20	12	7	14	4	18	8	18	8	18	8	18	8	skPrayer	5	MercAura2	1	1	4	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Comb-Normal	0	6	338	2	1	31	198	patreonb1	patreonb33	2500	110	340	20	243	24	96	16	73	11	240	20	18	25	6	62	7	62	7	62	7	62	7	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Comb-Normal	0	6	338	2	1	55	198	patreonb1	patreonb33	2500	110	820	35	627	30	138	16	109	11	720	30	36	43	8	104	4	104	4	104	4	104	4	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Def-Normal	0	7	338	2	1	9	198	patreonb1	patreonb33	2500	110	120	10	45	18	57	16	40	11	20	10	7	14	4	18	8	18	8	18	8	18	8	skDefiance	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Def-Normal	0	7	338	2	1	31	198	patreonb1	patreonb33	2500	110	340	20	243	24	96	16	73	11	240	20	18	25	6	62	7	62	7	62	7	62	7	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Def-Normal	0	7	338	2	1	55	198	patreonb1	patreonb33	2500	110	820	35	627	30	138	16	109	11	720	30	36	43	8	104	4	104	4	104	4	104	4	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Off-Normal	0	8	338	2	1	9	198	patreonb1	patreonb33	2500	110	120	10	45	18	57	16	40	11	20	10	7	14	4	18	8	18	8	18	8	18	8	skBlessedAim	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Off-Normal	0	8	338	2	1	31	198	patreonb1	patreonb33	2500	110	340	20	243	24	96	16	73	11	240	20	18	25	6	62	7	62	7	62	7	62	7	skBlessedAim	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Off-Normal	0	8	338	2	1	55	198	patreonb1	patreonb33	2500	110	820	35	627	30	138	16	109	11	720	30	36	43	8	104	4	104	4	104	4	104	4	skBlessedAim	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	31	198	patreonb1	patreonb33	2500	120	306	20	219	20	92	16	69	11	216	20	16	23	6	59	7	59	7	59	7	59	7	skThorns	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Comb-Nightmare	0	9	338	2	2	55	198	patreonb1	patreonb33	2500	120	786	35	603	30	134	16	105	11	696	30	34	41	8	101	4	101	4	101	4	101	4	skThorns	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Def-Nightmare	0	10	338	2	2	31	198	patreonb1	patreonb33	2500	120	306	20	219	20	92	16	69	11	216	20	16	23	6	59	7	59	7	59	7	59	7	skHolyFreeze	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Def-Nightmare	0	10	338	2	2	55	198	patreonb1	patreonb33	2500	120	786	35	603	30	134	16	105	11	696	30	34	41	8	101	4	101	4	101	4	101	4	skHolyFreeze	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Off-Nightmare	0	11	338	2	2	31	198	patreonb1	patreonb33	2500	120	306	20	219	20	92	16	69	11	216	20	16	23	6	59	7	59	7	59	7	59	7	skMight	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Off-Nightmare	0	11	338	2	2	55	198	patreonb1	patreonb33	2500	120	786	35	603	30	134	16	105	11	696	30	34	41	8	101	4	101	4	101	4	101	4	skMight	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Comb-Hell	0	12	338	2	3	55	198	patreonb1	patreonb33	2500	130	707	35	543	30	130	16	101	11	626	30	32	39	8	98	4	98	4	98	4	98	4	skPrayer	5	MercAura2	1	1	0	8	10	Jab	14	1	0	16	10	Enlightened Justice	4	1	0	16	10	Blood Shield	4	1	0	16	10	Blink Strike	4	1	0	16	10	Critical Strike	1	1	0	16	10	1	1	1	5000	nec
Desert Mercenary	Def-Hell	0	13	338	2	3	55	198	patreonb1	patreonb33	2500	130	707	35	543	30	130	16	101	11	626	30	32	39	8	98	4	98	4	98	4	98	4	skDefiance	5	MercAura2	1	1	0	8	10	Jab	14	1	0	16	10	Enlightened Justice	4	1	0	16	10	Blood Shield	4	1	0	16	10	Blink Strike	4	1	0	16	10	Critical Strike	1	1	0	16	10	1	1	1	5000	nec
Desert Mercenary	Off-Hell	0	14	338	2	3	55	198	patreonb1	patreonb33	2500	130	707	35	543	30	130	16	101	11	626	30	32	39	8	98	4	98	4	98	4	98	4	skBlessedAim	5	MercAura2	1	1	0	8	10	Jab	14	1	0	16	10	Enlightened Justice	4	1	0	16	10	Blood Shield	4	1	0	16	10	Blink Strike	4	1	0	16	10	Critical Strike	1	1	0	16	10	1	1	1	5000	nec
Desert Mercenary	Prayer-Normal	100	6	338	2	1	9	198	patreonb1	patreonb33	2500	110	120	15	45	18	57	16	40	11	20	12	7	14	4	18	8	18	8	18	8	18	8	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Prayer-Normal	100	6	338	2	1	43	198	patreonb1	patreonb33	2500	110	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Prayer-Normal	100	6	338	2	1	75	198	patreonb1	patreonb33	2500	110	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skPrayer	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Defiance-Normal	100	7	338	2	1	9	198	patreonb1	patreonb33	2500	110	120	15	45	18	57	16	40	11	20	12	7	14	4	18	8	18	8	18	8	18	8	skDefiance	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Defiance-Normal	100	7	338	2	1	43	198	patreonb1	patreonb33	2500	110	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skDefiance	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Defiance-Normal	100	7	338	2	1	75	198	patreonb1	patreonb33	2500	110	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skDefiance	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	9	198	patreonb1	patreonb33	2500	110	120	15	45	18	57	16	40	11	20	12	7	14	4	18	8	18	8	18	8	18	8	skBlessedAim	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	43	198	patreonb1	patreonb33	2500	110	630	25	419	19	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skBlessedAim	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	BlessedAim-Normal	100	8	338	2	1	75	198	patreonb1	patreonb33	2500	110	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skBlessedAim	5	MercAura2	1	1	0	1	10	Jab	14	1	0	1	10	Enlightened Justice	4	1	0	1	10	Blood Shield	4	1	0	1	10	Blink Strike	4	1	0	1	10	Critical Strike	1	1	0	1	10	1	1	1	5000	nec
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	43	198	patreonb1	patreonb33	2500	110	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skPrayer	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Prayer-Nightmare	100	30	338	2	2	75	198	patreonb1	patreonb33	2500	110	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skPrayer	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	43	198	patreonb1	patreonb33	2500	110	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skDefiance	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Defiance-Nightmare	100	31	338	2	2	75	198	patreonb1	patreonb33	2500	110	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skDefiance	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	43	198	patreonb1	patreonb33	2500	110	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skBlessedAim	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	BlessedAim-Nightmare	100	32	338	2	2	75	198	patreonb1	patreonb33	2500	110	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skBlessedAim	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	43	198	patreonb1	patreonb33	2500	120	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skThorns	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	Thorns-Nightmare	100	9	338	2	2	75	198	patreonb1	patreonb33	2500	120	1430	40	1027	30	173	16	139	11	1196	36	48	55	8	142	4	142	4	142	4	142	4	skThorns	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
Desert Mercenary	HolyFreeze-Nightmare	100	10	338	2	2	43	198	patreonb1	patreonb33	2500	120	630	25	419	24	117	16	91	11	428	24	24	31	6	86	7	86	7	86	7	86	7	skHolyFreeze	5	MercAura2	1	1	0	4	10	Jab	14	1	0	8	10	Enlightened Justice	4	1	0	8	10	Blood Shield	4	1	0	8	10	Blink Strike	4	1	0	8	10	Critical Strike	1	1	0	8	10	1	1	1	5000	nec
