skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	item proc text	item proc descline count	*eol
ice bolt	3	1	1	3	6		skIceBolt	sdIceBolt	sdIceBolt	skIceBolt	5																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																74	StrSkillReleasesBolts		clc1																						40	Sksyn	skIceBolt	2		76	Colddplev	skFrostNova	par8		76	Colddplev	skAbominable	par8		76	Colddplev	skFrozenOrb	par8		18	StrSkillExtraMissile				40	MasteryBonus		7		18	StrMastIceBolt						0
ice clone	3	1	3	3	8		skIceClone	sdIceClone	sdIceClone	skIceClone																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	clc2	25	74	StrSkillLifePercent		clc1																	75	StrSkillColdNova		30	50																					40	Sksyn	skIceClone	2		75	StrSkillExtraSummonL		3	2	40	MasteryBonus		7		18	StrMastIceClone																					0
overheat	1	3	3	1	10		skOverheat	sdOverheat	sdOverheat	skOverheat	6													overflame			36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrCooldown		(100*350)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skOverheat	2		76	Firedplev	skWarmth	par8		76	Firedplev	skBlaze	par8		76	Firedplev	skFireBall	par8		40	MasteryBonus		7		18	StrMastOverheat											0
static field	2	2	2	2	12		skStaticField	sdStaticField	sdStaticField	skStaticField																	36	StrSkill3		usmc	256	74	StrSkill33		par4		36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																									40	MasteryBonusNS		7		18	StrMastStaticField																															0
astral projection	2	1	2	2	14		skAstralProjection	sdAstralProjection	sdAstralProjection	skAstralProjection																	36	StrSkill3		"max(usmc, 1)"	256	74	ModStr4v		(blvl==20)?30:0																																															40	MasteryBonus		7		74	StrMastFCRProject		30																										0			0
frost nova	3	1	2	3	16		skFrostNova	sdFrostNova	sdFrostNova	skFrostNova	5																36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	75	StrSkill6		enma	exma																					36	StrCooldown		(100*25)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25																					40	Sksyn	skFrostNova	2		76	Colddplev	skBlizzard	par8		76	Colddplev	skFrozenOrb	par8		76	FrezLenplev	skMeteor	par7		40	MasteryBonus		7		18	StrMastFrostNova											0
abominable	3	2	2	3	18		skAbominable	sdAbominable	sdAbominable	skAbominable																	36	StrSkill3		usmc	256	74	Cgslow		ast1		34	StrSkill4				74	StrSkillAttackRating		pst2		13	StrSkill42		clc1							74	StrSkillDefense		pst4		74	StrSkillMoveAndAttackRate		pst1		74	StrSkillColdAbs		ast3		74	StrSkillMaxAbom		pets							40	Sksyn	skAbominable	2		76	Damplev	skBlizzard	par5		76	MoveAndAttackRateplev	skFrozenOrb	par6		76	FlatHpplev	ColdArmors	par7		75	StrSkillExtraSummon		1	5	40	MasteryBonus		7		18	StrMastAbominable						0
blaze	1	2	2	1	20		skBlaze	sdBlaze	sdBlaze	skBlaze	9													blaze			36	StrSkill3		usmc	256	36	StrSkillFireDurationSingular	StrSkill82	miss('blaze'.rang)	25	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256	74	StrSkillFireThorns		pst2		74	StrSkillMovementSpeed		pst1																																40	Sksyn	skBlaze	2		76	Firedplev	skWarmth	par8		76	Firedplev	skFireWall	par7		40	MasteryBonus		7		18	StrMastBlaze																0
fire ball	1	2	1	1	22		skFireBall	sdFireBall	sdFireBall	skFireBall	5													fireball			36	StrSkill3		usmc	256	75	StrSkill5		enma	exma																					36	StrSkillExplosionRadius	StrSkillExplosionRadius	clc1*2	3																					40	Sksyn	skFireBall	2		76	Firedplev	skFirestorm	par8		76	Firedplev	skOverheat	par8		76	Firedatmax	skMeteor	40		40	MasteryBonus		7		18	StrMastFireBall											0
nova	2	3	2	2	24		skNova	sdNova	sdNova	skNova	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	75	StrSkill4		pnma	pxma																74	StrFasterCast		ast1																						40	Sksyn	skNova	2		76	Ltngdplev	skGleamingApprentice	par8		76	Damplev	skGleamingApprentice	par8		76	Ltngdplev	skPolarityShift	par8		76	Damplev	skPolarityShift	par8		40	MasteryBonus		7		18	StrMastNova						0
gleaming apprentice	2	2	1	2	26		skGleamingApprentice	sdGleamingApprentice	sdGleamingApprentice	skGleamingApprentice																	36	StrSkill3		usmc	256	74	StrSkill21		pst1		74	StrSkillLightningDamagePercent		pst2		74	StrFasterCast		pst3												13	StrSkill42		clc1		74	StrSkill54		ast1		74	StrSkillMovementSpeed		pst4												40	Sksyn	skGleamingApprentice	2		75	StrSkillExtraSummon		1	5	40	MasteryBonus		7		18	StrMastGleamingApprentice																					0
shiver armor	3	2	3	3	28		skShiverArmor	sdShiverArmor	sdShiverArmor	skShiverArmor	5																36	StrSkillDurationSingular	StrSkill20	len	25	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	74	StrSkillColdResist		ast2		74	StrSkill21		ast1		74	StrSkillChillSynergy		(blvl<2)?3:ast4		74	StrSkillColdMaxDamage		ast5		36	StrSkill3		usmc	256	74	StrSkillNoFreeze		ast3		75	StrSkillColdDamageToAttacker		enma	exma											40	Sksyn	skShiverArmor	2		76	Colddplev	skWarmth	5		40	MasteryBonus		7		18	StrMastShiverArmor																					0
fire wall	1	2	3	1	30		skFireWall	sdFireWall	sdFireWall	skFireWall	9													firewallmaker			36	StrSkill3		usmc	256	36	StrSkillRangeSingular	StrSkill56	m1rn*2	3	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																36	StrSkillFireDurationSingular	StrSkill82	miss('firewall'.rang)	25	74	StrSkillMaxFireWalls		clc1		36	StrCooldown		((blvl==10)?0:(100*35)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25											40	Sksyn	skFireWall	2		76	Firedplev	skWarmth	par8		76	Firedplev	skOverheat	par7		40	MasteryBonus		7		18	StrMastFireWall																0
enchant	1	1	2	1	32		skEnchant	sdEnchant	sdEnchant	skEnchant																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkillAllSkills		ast5		74	StrSkill22		toht		74	StrSkill106		ast4		75	StrSkill5		enma	exma																										40	Sksyn	skEnchant	2		76	Firedplev	skWarmth	par8		40	MasteryBonus		7		18	StrMastEnchant																					0
chain lightning	2	3	1	2	34		skChainLightning	sdChainLightning	sdChainLightning	skChainLightning	5																36	StrSkill3		usmc	256	75	StrSkill7		enma	exma	36	StrSkillStunLengthSingular	StrSkill48	edln	25	74	StrSkill11		clc1												74	StrFasterCast		ast1																						40	Sksyn	skChainLightning	2		76	Ltngdplev	skRollingThunder	par8							76	Ltngdplev	skGleamingApprentice	par8		18	StrSkillExtraTarget				40	MasteryBonus		7		18	StrMastChainLightning						0
discharge	2	2	3	2	36		skDischarge	sdDischarge	sdDischarge	skDischarge																	36	StrSkill3		(usmc<=1535)?1280:usmc	256						36	StrSkillStunLengthSingular	StrSkill48	edln	25	74	StrSkillLightningDamagePercent		ast1		74	StrSkill88		ast2							36	StrSkillChargeTime		len	25	74	StrFasterCast		ast3		36	StrCooldown		(100*100)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100))	25											40	Sksyn	skDischarge	2		76	StunLenplev	skPolarityShift	par8		40	MasteryBonus		7		18	StrMastDischarge																					0
cold crippler	3	2	1	3	38	16	skColdCrippler	sdColdCrippler	sdColdCrippler	skColdCrippler														coldcrippler			36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	clc4	25	36	StrSkillRangeSingular	StrSkill56	m1rn*2	3	74	StrSkillPierceColdRes		ast1		74	StrSkillMoveSpeed		ast2																																40	Sksyn	skColdCrippler	2		18	StrSkillExtraMissile				40	MasteryBonus		7		18	StrMastColdCrippler																					0
meteor	1	3	1	1	40		skMeteor	sdMeteor	sdMeteor	skMeteor	5													meteorfire			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		m1eo*25*3*(mael+100)/100/256	m1ey*25*3*(mael+100)/100/256	75	StrSkillFImpactDamage		enma	exma	75	StrSkillImpactDamage		pnma	pxma											36	StrSkillRadiusSingular	StrSkill18	rng*2	3	36	StrCooldown		(stat('Celestial_Aid'.accr)>=1)?0:((100*20)/(100+(100*((stat('item_cooldownreduction'accr)>=200)?200:stat('item_cooldownreduction'accr))/100)))	25																40	Sksyn	skMeteor	2		76	Firedplev	skFirestorm	par8		76	Firedplev	skFireBall	par8		76	ImpactDamplev	skOverheat	par8		76	AFDImm	skBlaze	3		40	MasteryBonus		7		18	StrMastMeteor						0
