index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Rakescar	10	0	1			1	1	36	27	wax	War Axe		5	5000	dgry	dgry		D2R_Jank				pois-min		128	128	pois-max		128	128	pois-len		75	75	att		50	50	res-pois		50	50	dmg%		75	150	swing		30	30	addxp		2	5													oskill	CharmSkill	1	1		0
Fechmars Axe	11	0	1			1	1	11	8	lax	Large Axe		5	5000	lpur	lpur		D2R_Jank				dmg%		70	90	freeze		3	3	res-cold		50	50	light		2	2																													oskill	CharmSkill	1	1		0
Goreshovel	12	0	1			1	1	19	14	bax	Broad Axe		5	5000	dpur	dpur		D2R_Jank				swing		30	30	str		25	25	openwounds		40	40	dmg%		40	50	dmg-max		9	9																									oskill	CharmSkill	1	1		0
The Chieftan	13	0	1			1	1	26	19	btx	Battle Axe		5	5000	oran			D2R_Jank				dmg%		100	100	res-all		10	20	mana-kill		6	6	swing		20	20	dmg-ltng		1	40																									oskill	CharmSkill	1	1		0
Brainhew	14	0	1			1	1	34	25	gax	Great Axe (barb)		5	5000	whit			D2R_Jank				dmg-min		14	14	mana		25	25	light		4	4	manasteal		10	13	dmg%		50	80	dmg-fire		15	35																					oskill	CharmSkill	1	1		0
The Humongous	15	0	1			1	1	39	29	gix	Giant Axe(Barb)		5	5000	blac	blac		D2R_Jank				str		20	30	dmg-min		8	8	dmg-max		15	25	crush		25	25	ease		20	20	dmg%		80	120																					oskill	CharmSkill	1	1		0
Iros Torch	16	0	1			1	1	1	3	wnd	Wand		5	5000	cred			D2R_Jank				nec		1	1	sum-dmg		20	20	res-fire		5	10	light		3	3	enr		10	10	regen-mana		5	5	oskill	Terror	3	3																	oskill	CharmSkill	1	1		0
Maelstromwrath	17	0	1			1	1	19	14	ywn	Yew Wand		5	5000	dblu	dblu		D2R_Jank				extra-mag		5	10	gethit-skill	Static Field	5	5	res-ltng		40	40	mana		13	13	cast		30	30	oskill	Corpse Explosion	1	3	oskill	Terror	1	3	oskill	Dim Vision	1	3													oskill	CharmSkill	1	1		0
Gravenspine	18	0	1			1	1	27	20	bwn	Bone Wand		5	5000	cgrn			D2R_Jank				str		10	10	dex		10	10	res-cold		15	15	sum-hp		10	20	hp		15	15	cast		15	15	nec		2	2	mana		25	50	oskill	Decrepify	1	2									oskill	CharmSkill	1	1		0
Umes Lament	19	0	1			1	1	38	28	gwn	Grim Wand		5	5000	lblu	lblu		D2R_Jank				nec		2	2	mana		40	40	cast		20	20	howl		64	64	oskill	Terror	3	3	oskill	Decrepify	1	2	addxp		2	5																	oskill	CharmSkill	1	1		0
Felloak	20	0	1			1	1	4	3	clb	Branch (Druid)		5	5000	lgry			D2R_Jank				res-ltng		60	60	res-fire		20	20	fire-min		6	6	fire-max		8	8	dmg%		70	80	addxp		2	5																					oskill	CharmSkill	1	1		0
Knell Striker	21	0	1			1	1	7	5	scp	Scepter		5	5000	dred	dred		D2R_Jank				crush		25	25	res-fire		20	20	res-pois		20	20	mana		15	15	att		35	35	dmg%		70	80																					oskill	CharmSkill	1	1		0
Rusthandle	22	0	1			1	1	23	17	gsc	Grand Scepter		5	5000	lgld	lgld		D2R_Jank				pal		1	1	dmg-norm		3	7	red-mag		1	1	lifesteal		8	8	dmg%		50	60	dmg-undead		50	60	skill	Vengeance	1	3	skill	Thorns	3	3													oskill	CharmSkill	1	1		0
Stormeye	23	0	1			1	1	31	23	wsp	War Scepter		5	5000	cred	cred		D2R_Jank				dmg-ltng		1	6	dmg-cold	75	3	5	regen		10	10	dmg%		80	120	skill	Blessed Hammer	3	5	skill	Holy Shock	3	3	skill	Fist of the Heavens	1	1	addxp		2	5													oskill	CharmSkill	1	1		0
Stoutnail	24	0	1			1	1	7	5	spc	Spiked Club		5	5000	dgry			D2R_Jank				thorns		3	10	dmg%		100	100	vit		7	7	red-mag		2	2																													oskill	CharmSkill	1	1		0
Crushflange	25	0	1			1	1	12	9	mac	Mace		5	5000	blac	blac		D2R_Jank				str		15	15	light		2	2	res-fire		50	50	dmg%		50	60	crush		20	20																									oskill	CharmSkill	1	1		0
Bloodrise	26	0	1			1	1	20	15	mst	Morning Star		5	5000	lblu			D2R_Jank				dmg%		120	120	att%		50	50	openwounds		20	20	light		2	2	swing		10	10	oskill	Sacrifice	3	3	lifesteal		5	5	addxp		2	5													oskill	CharmSkill	1	1		0
The Generals Tan Do Li Ga	27	0	1			1	1	28	21	fla	Flail		5	5000	dblu	dblu		D2R_Jank				dmg-norm		1	20	slow		50	50	ac		25	25	manasteal		5	5	dmg%		50	60	swing		20	20																					oskill	CharmSkill	1	1		0
Ironstone	28	0	1			1	1	36	27	whm	War Hammer		5	5000	cblu	cblu		D2R_Jank				att		100	150	dmg%		100	150	dmg-ltng		1	10	str		10	10	enr		-5	-5																									oskill	CharmSkill	1	1		0
Bonesnap	29	0	1			1	1	32	24	mau	Maul (Barb)		5	5000	lred			D2R_Jank				dmg%		200	300	crush		20	20	res-fire		30	30	res-cold		30	30	dmg-undead		50	50	addxp		2	5																					oskill	CharmSkill	1	1		0
Steeldriver	30	0	1			1	1	39	29	gma	Great Maul (Barb)		5	5000	cgrn	cgrn		D2R_Jank				ease		-50	-50	swing		40	40	crush		20	20	dmg%		150	250																													oskill	CharmSkill	1	1		0
Rixots Keen	31	0	1			1	1	3	2	ssd	Short Sword		5	5000	blac	blac		D2R_Jank				dmg-min		5	5	att%		20	20	light		2	2	crush		20	20	ac		25	25	dmg%		100	100	addxp		5	5																	oskill	CharmSkill	1	1		0
Blood Crescent	32	0	1			1	1	10	7	scm	Scimitar		5	5000	lblu			D2R_Jank				res-all		15	15	dmg%		60	80	hp		15	15	light		4	4	openwounds		20	20	swing		15	15	lifesteal		15	15	addxp		2	5													oskill	CharmSkill	1	1		0
Krintizs Skewer	33	0	1			1	1	14	10	sbr	Saber		5	5000	cblu			D2R_Jank				ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		50	50	dmg-norm		3	7	addxp		2	5																	oskill	CharmSkill	1	1		0
Gleamscythe	34	0	1			1	1	18	13	flc	Falchion		5	5000	lred			D2R_Jank				light		3	3	mana		30	30	ac		20	20	swing		20	20	dmg%		60	100	dmg-cold	50	3	5																					oskill	CharmSkill	1	1		0
Light's Beacon	35	0	1			1	1	18	13	crs	Crystal Sword (Sorc)		5	5000	lgry			D2R_Jank				deadly		50	50	extra-elem		5	10	dmg-cold	100	3	6	dmg%		100	100	dur		25	25	dmg-mag		5	10																					oskill	CharmSkill	1	1		0
Griswold's Edge	36	0	1			1	1	4	17	bsd	Broad Sword		5	5000	cred			D2R_Jank				fire-min		10	12	fire-max		15	25	att		100	100	swing		10	10	dmg%		80	120	str		12	12	addxp		2	5																	oskill	CharmSkill	1	1		0
Hellplague	37	0	1			1	1	30	22	lsd	Long Sword		5	5000	dred			D2R_Jank				dualsteal		5	5	dmg-pois	150	48	96	dmg%		70	80	dmg-fire		25	75	fireskill		2	2	addxp		2	5																					oskill	CharmSkill	1	1		0
Culwens Point	38	0	1			1	1	39	29	wsd	War Sword		5	5000	whit	whit		D2R_Jank				allskills		1	1	res-pois-len		50	50	balance		20	20	swing		20	20	att		60	60	dmg%		70	80																					oskill	CharmSkill	1	1		0
Shadowfang	39	0	1			1	1	16	12	2hs	Katana (Assassin)		5	5000	cgrn			D2R_Jank				dualsteal		9	9	res-cold		20	20	light		-2	-2	dmg-cold	150	10	30	dmg%		100	100	addxp		2	5	charge-noconsume	15	25																		oskill	CharmSkill	1	1		0
Soulflay	40	0	1			1	1	26	19	clm	Claymore		5	5000	dgrn	dgrn		D2R_Jank				manasteal		4	10	lifesteal		4	4	dmg%		70	100	res-all		5	5	swing		10	10	addxp		2	5																					oskill	CharmSkill	1	1		0
Kinemils Awl	41	0	1			1	1	31	23	gis	Giant Sword		5	5000	dblu			D2R_Jank				att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	oskill	Holy Fire	6	6																					oskill	CharmSkill	1	1		0
Blacktongue	42	0	1			1	1	35	26	bsw	Bastard Sword		5	5000	lgrn			D2R_Jank				dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		50	60	hp		-10	-10																					oskill	CharmSkill	1	1		0
Ripsaw	43	0	1			1	1	35	26	flb	Flamberge		5	5000	cblu	cblu		D2R_Jank				openwounds		15	35	dmg-max		15	15	manasteal		6	6	dmg%		100	125	addxp		2	5																									oskill	CharmSkill	1	1		0
The Patriarch	44	0	1			1	1	39	29	gsd	Great Sword		5	5000	cred			D2R_Jank				red-dmg		3	3	red-mag		3	3	stupidity		1	1	gold%		100	100	dmg%		100	120	str		10	10	addxp		2	5																	oskill	CharmSkill	1	1		0
Gull	45	0	1			1	1	6	4	dgr	Dagger		5	5000	lgry	lgry		D2R_Jank				dmg-min		1	1	dmg-max		15	15	mag%		50	100	mana		-5	-5	swing		45	45																									oskill	CharmSkill	1	1		0
The Diggler	46	0	1			1	1	15	11	dir	Dirk		5	5000	dgry	dgry		D2R_Jank				dex		10	10	dmg%		50	50	swing		30	30	res-cold		25	25	res-fire		25	25	ignore-ac		1	1	addxp		2	5																	oskill	CharmSkill	1	1		0
The Jade Tan Do	47	0	1			1	1	26	19	kri	Kris (Necro)		5	5000	oran			D2R_Jank				att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		15	15	addxp		2	5	dmg%		66	66	incant-dur		1	3	incant-rad		1	3									oskill	CharmSkill	1	1		0
Irices Shard	48	0	1			1	1	34	25	bld	Blade (Necro)		5	5000	dblu	dblu		D2R_Jank				cast		50	50	mana		50	50	att		55	55	res-all		10	10	nec		1	1	addxp		2	5	incant-dur		1	3	incant-rad		1	3													oskill	CharmSkill	1	1		0
Shadow Strike	49	0	1			1	1	6	4	tkf	Throwing Knife		5	5000	dgry	dgry		D2R_Jank				stupidity		1	1	slow		5	15	att		15	30	att%		10	15	dmg-norm		3	7	openwounds		35	35	mana-kill		1	1	rep-quant	99															oskill	CharmSkill	1	1		0
Madawc's First	50	0	1			1	1	8	7	tax	Throwing Axe		5	5000	lyel	lyel		D2R_Jank				noheal		1	1	swing		10	15	dmg-fire		3	4	dmg-ltng		1	7	heal-kill		1	1	rep-quant	99																							oskill	CharmSkill	1	1		0
Carefully	51	0	1			1	1	13	12	bkf	Balanced Knife		5	5000	dgry	dgry		D2R_Jank				swing		-15	-15	reduce-ac		15	20	dmg-norm		15	25	crush		5	15	deadly		15	20	att%		15	25	rep-quant	99																			oskill	CharmSkill	1	1		0
Ancient's Assualt	52	0	1			1	1	16	14	bal	Balanced Axe		5	5000	lgry	lgry		D2R_Jank				att		35	45	dmg%		65	75	dmg-mag		5	8	hp		15	20	res-all		5	10	rep-quant	99																							oskill	CharmSkill	1	1		0
Harpoonist's Training	53	0	1			1	1	3	2	jav	Javelin		5	5000	dyel	dyel		D2R_Jank				skill	Jab	2	3	dmg%		20	35	dmg-pois	75	124	124	swing		20	20	att		25	25	manasteal		3	3	rep-quant	99																			oskill	CharmSkill	1	1		0
Glorious Point	54	0	1			1	1	6	5	pil	Pilum		5	5000	dgrn	dgrn		D2R_Jank				skill	Poison Point	3	3	skill	Plague Javelin	1	2	dmg-pois	50	248	248	att%		10	15	rep-quant	99			lifesteal		4	6																					oskill	CharmSkill	1	1		0
Not So	55	0	1			1	1	10	9	ssp	Short Spear		5	5000	lgry	lgry		D2R_Jank				skill	Recharge	1	3	skill	Charged Strike	1	3	dmg-ltng		1	20	res-ltng		10	15	heal-kill		2	2	rep-quant	99			dmg%		60	75																	oskill	CharmSkill	1	1		0
Double Trouble	56	0	1			1	1	16	15	glv	Glaive		5	5000	dgry	dgry		D2R_Jank				skill	Throwing Mastery	1	2	dmg-ltng		1	35	dmg-cold	75	18	22	rep-quant	99			crush		10	15	dmg-norm		8	12																					oskill	CharmSkill	1	1		0
Straight Shot	57	0	1			1	1	24	23	tsp	Throwing Spear		5	5000	lyel	lyel		D2R_Jank				skill	Homing Harpoon	1	2	skill	Icy Trail	1	3	skill	Shout	1	3	mana		20	25	att%		10	15	rep-quant	99			manasteal		1	5	dmg%		85	85													oskill	CharmSkill	1	1		0
The Dragon Chang	58	0	1			1	1	11	8	spr	Spear (Pole Now)		5	5000	dpur	dpur		D2R_Jank				att		35	35	dmg-min		10	10	light		2	2	dmg-undead		100	100	dmg-fire		3	6	addxp		2	5																					oskill	CharmSkill	1	1		0
Razortine	59	0	1			1	1	16	12	tri	Trident (Pole Now)		5	5000	oran			D2R_Jank				slow		25	25	reduce-ac		50	50	str		15	15	dex		8	8	swing		30	30	dmg%		30	50																					oskill	CharmSkill	1	1		0
Bloodthief	60	0	1			1	1	23	17	brn	Brandistock(Pole Now)		5	5000	whit	whit		D2R_Jank				openwounds		20	30	str		10	10	lifesteal		8	12	hp		26	26	dmg%		50	70	addxp		2	5																					oskill	CharmSkill	1	1		0
Lance of Yaggai	61	0	1			1	1	30	22	spt	Spetum(Pole Now)		5	5000	lred	lred		D2R_Jank				thorns		8	8	dmg-ltng		1	60	abs-ltng		3	3	res-all		15	15	swing		40	40																									oskill	CharmSkill	1	1		0
The Tannr Gorerod	62	0	1			1	1	36	27	pik	Pike(Pole Now)		5	5000	lgry	lgry		D2R_Jank				fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	light		3	3	res-fire		15	15	dmg%		80	100													oskill	CharmSkill	1	1		0
Dimoaks Hew	63	0	1			1	1	11	8	bar	Bardiche		5	5000	blac	blac		D2R_Jank				dex		15	15	dmg%		100	100	swing		20	20	ac		-8	-8	addxp		2	5	deadly		10	10																					oskill	CharmSkill	1	1		0
Steelgoad	64	0	1			1	1	19	14	vou	Voulge		5	5000	cgrn	cgrn		D2R_Jank				howl		96	96	deadly		30	30	att		30	30	res-all		5	5	dmg%		60	80	dur		20	40																					oskill	CharmSkill	1	1		0
Soul Harvest	65	0	1			1	1	26	19	scy	Scythe (Necro)		5	5000	dgry			D2R_Jank				openwounds		10	30	att		45	45	res-all		20	20	dmg%		50	90	manasteal		10	10	enr		5	5	skill	Blight Strike	1	4	hit-skill	CTC_Weaken	5	5													oskill	CharmSkill	1	1		0
The Battlebranch	66	0	1			1	1	34	25	pax	Poleaxe		5	5000	lblu	lblu		D2R_Jank				swing		30	30	dex		10	10	dmg%		50	70	att		50	100	lifesteal		7	7																									oskill	CharmSkill	1	1		0
Woestave	67	0	1			1	1	38	28	hal	Halberd		5	5000	dblu	dblu		D2R_Jank				slow		50	50	openwounds		50	50	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	light		-2	-2	noheal		1	1	dmg%		40	80													oskill	CharmSkill	1	1		0
The Grim Reaper	68	0	1			1	1	39	29	wsc	Thresher (Necro)		5	5000	lpur	lpur		D2R_Jank				deadly		25	50	noheal		1	1	manasteal		5	5	dmg%		80	140	dmg-min		15	15	hp		-20	-20	skill	Blight Strike	3	5	extra-pois		10	15	hit-skill	CTC_Decrepify	3	6									oskill	CharmSkill	1	1		0
Bane Ash	69	0	1			1	1	1	3	sst	Short Staff		5	5000	lgrn	lgrn		D2R_Jank				dmg-fire		4	6	res-fire		50	50	mana		30	30	swing		20	20	dmg%		50	60	skill	Firestorm	5	5	skill	Warmth	2	2	addxp		2	5													oskill	CharmSkill	1	1		0
Serpent Lord	70	0	1			1	1	12	9	lst	Long Staff		5	5000	cgrn	cgrn		D2R_Jank				dmg-pois	75	40	40	res-pois		50	50	light		-1	-1	mana		10	10	dmg%		30	40	manasteal		100	100	reduce-ac		50	50																	oskill	CharmSkill	1	1		0
Lazarus Spire	71	0	1			1	1	24	18	cst	Gnarled Staff		5	5000	lgry			D2R_Jank				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	Chain Lightning	1	1	skill	Discharge	2	2	skill	Static Field	3	3	regen-mana		43	43	dmg-ltng		1	28	sor		1	1									oskill	CharmSkill	1	1		0
The Salamander	72	0	1			1	1	28	21	bst	Battle Staff		5	5000	dred	dred		D2R_Jank				dmg-fire		15	32	res-fire		30	30	skill	Fire Wall	1	1	skill	Fire Ball	2	2	skill	Warmth	3	3	fireskill		2	2	addxp		2	5																	oskill	CharmSkill	1	1		0
The Iron Jang Bong	73	0	1			1	1	38	28	wst	War Staff		5	5000	dyel	dyel		D2R_Jank				ac		30	30	cast		20	20	dmg%		100	100	att%		50	50	skill	Enchant	2	2	skill	Blaze	2	2	skill	Frost Nova	3	3	sor		2	2													oskill	CharmSkill	1	1		0
Pluckeye	74	0	1			1	1	4	7	sbw	Short Bow		5	5000	cblu	cblu		D2R_Jank				att		28	28	dmg%		100	100	hp		10	10	light		2	2	manasteal		3	3	mana-kill		2	2	addxp		7	10																	oskill	CharmSkill	1	1		0
Witherstring	75	0	1			1	1	3	13	hbw	Hunter\92s Bow		5	5000	lred	lred		D2R_Jank				swing		30	30	dmg-min		1	1	dmg-max		3	3	att		50	50	oskill	Magic Arrow	3	3	dmg%		40	50	addxp		2	5																	oskill	CharmSkill	1	1		0
Rimeraven	76	0	1			1	1	20	15	lbw	Long Bow		5	5000	dred	dred		D2R_Jank				att%		50	50	dex		3	3	oskill	Exploding Arrow	3	3	str		3	3	dmg%		60	70	addxp		2	5																					oskill	CharmSkill	1	1		0
Piercerib	77	0	1			1	1	27	20	cbw	Composite Bow		5	5000	cred			D2R_Jank				res-all		10	10	deadly		20	20	att		60	60	dmg-undead		100	100	dmg%		40	60	swing		50	50	addxp		2	5																	oskill	CharmSkill	1	1		0
Pullspite	78	0	1			1	1	34	25	sbb	Short Battle Bow		5	5000	lgrn			D2R_Jank				dmg-ltng		1	30	str		8	8	att		28	28	pierce		25	25	res-ltng		25	25	dmg%		70	90																					oskill	CharmSkill	1	1		0
Wizendraw	79	0	1			1	1	35	26	lbb	Long Battle Bow		5	5000	dgrn	dgrn		D2R_Jank				oskill	Magic Arrow	5	5	mana		30	30	swing		20	20	res-cold		26	26	att		50	100	dmg%		70	80	enr		15	15	pierce-cold		20	35	pierce-immunity-cold		10	15									oskill	CharmSkill	1	1		0
Hellclap	80	0	1			1	1	36	27	swb	Short War Bow		5	5000	cgrn			D2R_Jank				swing		10	10	fire-min		15	15	fire-max		30	50	att		50	75	res-fire		40	40	dex		12	12	dmg%		70	90	fireskill		1	1	addxp		2	5									oskill	CharmSkill	1	1		0
Blastbark	81	0	1			1	1	38	28	lwb	Long War Bow		5	5000	lyel	lyel		D2R_Jank				dmg%		70	130	str		5	5	ama		1	1	manasteal		3	3	skill	Exploding Arrow	2	2	addxp		2	5																					oskill	CharmSkill	1	1		0
Leadcrow	82	0	1			1	1	12	9	lxb	Light Crossbow		5	5000	dyel			D2R_Jank				dex		10	10	hp		10	10	dmg%		70	70	res-pois		30	30	deadly		20	20	att		40	40																					oskill	CharmSkill	1	1		0
Ichorsting	83	0	1			1	1	24	18	mxb	Crossbow		5	5000	lgld			D2R_Jank				dmg-pois	75	102	102	dex		20	20	pierce		50	50	att		50	50	dmg%		50	50	swing		20	20	addxp		2	5																	oskill	CharmSkill	1	1		0
Hellcast	84	0	1			1	1	36	27	hxb	Heavy Crossbow		5	5000	dgld			D2R_Jank				skill	Exploding Arrow	5	5	res-fire-max		15	15	res-fire		15	15	att		70	70	swing		20	20	dmg%		70	80	dmg-fire		15	35																	oskill	CharmSkill	1	1		0
Doomspittle	85	0	1			1	1	38	28	rxb	Repeating Crossbow		5	5000	lpur			D2R_Jank				ama		1	1	pierce		35	35	swing		30	30	hp		15	15	dmg%		60	100																									oskill	CharmSkill	1	1		0
Coldkill	86	100	1			1	1	44	36	9ha	Hatchet		5	5000	cblu	cblu		D2R_Jank				dmg-cold	50	40	40	res-cold		15	15	res-cold-max		15	15	swing		30	30	hit-skill	CTC_IceBlast	10	10	gethit-skill	CTC_FrostNova	10	5	dmg%		150	190																	oskill	CharmSkill	1	1		0
Butcher's Pupil	87	100	1			1	1	47	39	9ax	Cleaver		5	5000	cblu	cblu		D2R_Jank				deadly		5	15	openwounds		5	20	dmg%		150	200	swing		30	30	dmg-norm		30	50																									oskill	CharmSkill	1	1		0
Islestrike	88	100	1			1	1	51	43	92a	Twin Axe		5	5000				D2R_Jank				dru		2	2	all-stats		10	10	ac-miss		50	50	crush		10	10	dmg%		170	190	skill	Maul	1	3	skill	Feral Rage	1	3	swing		30	30													oskill	CharmSkill	1	1		0
Pompeii's Wrath	89	100	1			1	1	53	45	9mp	Battle Sickle (Necro)		5	5000	cred	cred		D2R_Jank				hit-skill	CTC_Volcano	4	8	slow		50	50	dmg-fire		35	150	dmg%		140	170	addxp		5	5																									oskill	CharmSkill	1	1		0
Guardian Naga	90	100	1			1	1	56	48	9wa	Naga		5	5000				D2R_Jank				hit-skill	CTC_PoisonNova	5	8	thorns		15	15	res-pois		30	30	dmg%		150	180	dmg-pois	250	256	256	dmg-max		20	20	addxp		2	5																	oskill	CharmSkill	1	1		0
Warlord's Trust	91	100	1			1	1	43	35	9la	Military Axe		5	5000	whit	whit		D2R_Jank				ac		75	75	regen		20	20	vit/lvl	4			res-all		10	10	rep-dur	25			dmg%		175	175	addxp		2	5																	oskill	CharmSkill	1	1		0
Spellsteel	92	100	1			1	1	47	39	9ba	Bearded Axe		5	5000	whit	whit		D2R_Jank				ease		-60	-60	mana		100	100	red-mag		12	15	cast		10	10	dmg%		165	165	regen-mana		25	25	charged	Discharge	20	5	charged	Holy Bolt	100	10	charged	Firestorm	60	12									oskill	CharmSkill	1	1		0
Stormrider	93	100	1			1	1	49	41	9bt	Tabar		5	5000	lred	lred		D2R_Jank				hit-skill	CTC_ChainLightning	5	10	hit-skill	CTC_ChargedBolt	10	0	dmg-ltng		1	200	dmg-norm		35	75	dmg%		100	100	dur		50	50	light-thorns		15	15	gethit-skill	CTC_ChargedBolt	15	5	addxp		2	5									oskill	CharmSkill	1	1		0
Boneslayer Blade	94	100	1			1	1	50	42	9ga	Gothic Axe (Barb)		5	5000				D2R_Jank				att-und/lvl	10			dmg-und/lvl	20			str		8	8	swing		20	20	att%		35	35	dmg%		180	220	charged	Holy Bolt	200	20	gethit-skill	CTC_HolyBolt	50	0	addxp		2	5									oskill	CharmSkill	1	1		0
The Minataur	95	100	1			1	1	53	45	9gi	Ancient Axe (Barb)		5	5000				D2R_Jank				stupidity		2	2	half-freeze		1	1	str		15	20	slow		30	30	crush		20	20	dmg-norm		20	30	dmg%		140	200	addxp		2	5													oskill	CharmSkill	1	1		0
Suicide Branch	96	100	1			1	1	41	33	9wn	Burnt Wand		5	5000				D2R_Jank				thorns		25	25	cast		50	50	res-all		10	10	mana%		10	10	hp		40	40	allskills		1	1	addxp		3	5																	oskill	CharmSkill	1	1		0
Carin Shard	97	100	1			1	1	43	35	9yw	Petrified Wand		5	5000	cblu	cblu		D2R_Jank				hp/lvl	10			cast		10	10	mana/lvl	10			balance		30	30	regen		5	5	nec		1	1	skilltab	8	2	2	addxp		2	5													oskill	CharmSkill	1	1		0
Arm of King Leoric	98	100	1			1	1	44	36	9bw	Tomb Wand		5	5000				D2R_Jank				incant-dur		3	5	oskill	Bone Armor	2	3	mana/lvl	10			gethit-skill	CTC_BonePrison	10	2	cast		10	10	sum-hp		40	60	oskill	Confuse	2	2	oskill	Raise Skeletal Mage	2	2	oskill	Summon Mastery	3	3	oskill	Raise Skeleton	3	3					oskill	CharmSkill	1	1		0
Blackhand Key	99	100	1			1	1	49	41	9gw	Grave Wand		5	5000	blac	blac		D2R_Jank				skilltab	6	1	1	dmg-to-mana		20	20	hp		50	50	light		-2	-2	cast		30	30	res-fire		37	37	nec		2	2	charged	Grim Ward	30	5													oskill	CharmSkill	1	1		0
Dark Clan Crusher	100	100	1			1	1	42	34	9cl	Limb(Druid)		5	5000	dgld	dgld		D2R_Jank				dru		2	2	dmg-demon		200	200	att-demon		200	200	dmg%		195	195	att%		20	25	demon-heal		15	15	addxp		2	5																	oskill	CharmSkill	1	1		0
Zakarum's Hand	101	100	1			1	1	45	37	9sc	Rune Scepter		5	5000	lpur	lpur		D2R_Jank				manasteal		8	8	ignore-ac		1	1	regen		10	10	regen-mana		15	25	hit-skill	CTC_Blizzard	6	5	dmg%		180	220	swing		30	30	oskill	Holy Freeze	2	2	oskill	Holy Shock	2	2									oskill	CharmSkill	1	1		0
The Fetid Sprinkler	102	100	1			1	1	46	38	9qs	Holy Water Sprinkler		5	5000				D2R_Jank				pal		2	2	hit-skill	CTC_Decrepify	5	1	hit-skill	CTC_Confuse	10	1	dmg-pois	100	409	409	dmg%		160	190	att		150	200	dmg-norm		15	25																	oskill	CharmSkill	1	1		0
