Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	LevelGroup
Act 1 - Cave 4	Hole Level 1	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	30	55	5	38	80	1400	1450	1550	3	5	5	7	7	9	1	0	3	bighead3	fallen2	brute2	cr_archer2																							bighead3	fallen2	brute2	cr_archer2																						bighead3	fallen2	brute2	cr_archer2																						rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	EnteringTheHoleLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	Act 1 - Hole
Act 1 - Cave 5	Pit Level 1	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	39	85	1400	1450	1550	3	5	5	7	7	9	1	0	3	skeleton3	fallen3	corruptrogue3	cr_archer3																							skeleton3	fallen3	corruptrogue3	cr_archer3																						skeleton3	fallen3	corruptrogue3	cr_archer3																						rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	EnteringThePitLevel1	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	Act 1 - Pit
Act 1 - Cave 2 Treasure	Cave Level 2	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	2	37	78	1600	1650	1700	3	4	3	4	3	4	1	0	3	skeleton1	zombie2	cr_archer1																								skeleton1	zombie2	cr_archer1																							skeleton1	zombie2	cr_archer1																							rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	EnteringTheCaveLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Cave
Act 1 - Cave 3 Treasure	Underground Passage Level 2	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	38	85	1600	1650	1700	3	4	3	4	3	4	1	0	3	bighead3	fallen2	corruptrogue2	sk_archer1																							bighead3	fallen2	corruptrogue2	sk_archer1																						bighead3	fallen2	corruptrogue2	sk_archer1																						rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	EnteringUndergroundPassageLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Underground Passage
Act 1 - Cave 4 Treasure	Hole Level 2	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	30	55	5	39	81	1600	1650	1700	3	4	3	4	3	4	1	0	3	bighead3	fallen2	brute2	cr_archer2																							bighead3	fallen2	brute2	cr_archer2																						bighead3	fallen2	brute2	cr_archer2																						rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	EnteringTheHoleLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Hole
Act 1 - Cave 5 Treasure	Pit Level 2	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	40	85	1600	1650	1700	3	4	3	4	3	4	1	0	3	skeleton3	fallen3	corruptrogue3	cr_archer3																							skeleton3	fallen3	corruptrogue3	cr_archer3																						skeleton3	fallen3	corruptrogue3	cr_archer3																						rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	EnteringThePitLevel2	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	Act 1 - Pit
Act 1 - Graveyard	Burial Grounds	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	3	28	53	3	36	80	1040	1040	1040							1	0	3	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2																																				0	2	255	Burial Grounds	To The Burial Grounds	EnteringTheBurialGrounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Burial Grounds
Act 1 - Crypt 1 A	Crypt	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	37	83	2112	2112	2112	3	5	4	6	5	7	1	0	3	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2																								rat	bat			30	30							8	5	255	Crypt	To The Crypt	EnteringTheCrypt	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	Act 1 - Crypt
Act 1 - Crypt 2 A	Mausoleum	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	37	85	2112	2112	2112	3	5	4	6	5	7	1	0	3	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2																								rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	EnteringTheMausoleum	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	Act 1 - Mausoleum
Act 1 - Tower 2	Forgotten Tower	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	25	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57				0	0	0							1	0																																																																														rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	EnteringTheForgottenTower	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - The Thing	Tower Cellar Level 1	21	0	0			13	43	48	43	48	43	48	5000	1000	0	1	1	0	0	0	1	1	1	0	2	11	-1	-1	-1	-1	1	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	1	1	0	2025	6	31	56	6	39	76	1200	1300	1500	2	3	4	5	6	7	0	0	3																																																																																									0	3	255	Tristram	To Tristram	EnteringTristram	44	45	0	0	0	0	0	0	0	33	1	0	0	0	0	0	Act 1 - Forgotten Tower
Unused22	Tower Cellar Level 2	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	39	76	2048	2048	2048	2	3	3	4	4	5	1	0	3	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	EnteringTheTowerCellarLevel2	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Unused23	Tower Cellar Level 3	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57	7	40	77	2048	2048	2048	2	3	3	4	4	5	1	0	3	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	EnteringTheTowerCellarLevel3	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Unused24	Tower Cellar Level 4	24	0	0			16	200	200	200	200	200	200	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	21	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	41	78	2048	2048	2048	2	3	3	4	4	5	1	0	3	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	EnteringTheTowerCellarLevel4	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Crypt 3 E	Tower Cellar Level 5	25	0	0			17	30	30	30	30	30	30	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	20	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	125	7	32	57	7	42	79	4000	4000	4000	4	4	4	6	4	7	1	0	3	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3																						fallen3	wraith1	goatman3	cr_archer3																						rat	bat			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	EnteringTheTowerCellarLevel5	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Monastery	Monastery Gate	26	0	0			0	64	18	64	18	64	18	3000	1000	0	1	0	0	0	1	1	1	0	0	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	8	33	58	8	40	70	1400	1600	1900	1	3	1	3	2	3	1	0	3	bighead4	corruptrogue3	sk_archer2	skmage_ltng1																							bighead4	corruptrogue3	sk_archer2	skmage_ltng1	fallen3																					bighead4	corruptrogue3	sk_archer2	skmage_ltng1	fallen3																																	48	6	255	Monastery Gate	To The Monastery Gate	EnteringTheMonasteryGate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Monastery Gate
Act 1 - Courtyard 1	Outer Cloister	27	0	0			0	56	40	56	40	56	40	0	-40	26	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	26	28	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	0	1	0	2025	9	34	59	9	40	70	1600	1800	2200	1	3	2	3	3	4	1	0	3	brute3	corruptrogue4	fallenshaman3	quillbear4																							brute3	corruptrogue4	fallenshaman3	quillbear4																						brute3	corruptrogue4	fallenshaman3	quillbear4																																		0	7	5	Outer Cloister	To The Outer Cloister	EnteringTheOuterCloister	14	15	0	0	0	0	0	0	7	33	0	0	0	0	0	0	Act 1 - Outer Cloister
Act 1 - Barracks	Barracks	28	0	0			0	200	200	200	200	200	200	-1	-1	0	1	0	0	0	1	1	1	0	1	1	7	-1	-1	-1	-1	27	31	0	0	0	0	0	0	-1	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	9	34	59	9	40	70	1500	1650	1800	2	4	5	6	7	9	1	0	3	corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																						corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																					corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2																					rat	bat			30	30							8	8	255	Barracks	To The Barracks	EnteringTheBarracks	51	3	17	0	0	0	0	0	9	35	25	0	0	0	0	0	Act 1 - Barracks
Unused29	Jail Level 1	29	0	0			18	200	200	200	200	200	200	3500	1000	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	36	30	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	10	35	60	10	41	71	1700	1900	2200	2	3	5	6	7	9	1	1	3	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																						fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					rat	bat			30	30							8	8	255	Jail Level 1	To The Jail Level 1	EnteringTheJailLevel1	51	15	3	0	0	0	0	0	11	50	35	0	0	0	0	0	Act 1 - Jail
Unused30	Jail Level 2	30	0	0			19	200	200	200	200	200	200	3500	1300	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	29	34	0	0	0	0	0	0	13	14	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	35	60	10	41	71	1360	1360	1360	2	3	5	6	7	9	1	1	3	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																						fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					fallen4	wraith2	goatman5	sk_archer3	skmage_fire2																					rat	bat			30	30							8	8	255	Jail Level 2	To The Jail Level 2	EnteringTheJailLevel2	51	15	3	0	0	0	0	0	13	50	45	0	0	0	0	0	Act 1 - Jail
Act 1 - Jail 3	Jail Level 3	31	0	0			20	200	200	200	200	200	200	3500	1600	0	1	0	0	0	1	1	1	0	1	1	8	-1	-1	-1	-1	28	32	0	0	0	0	0	0	13	13	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	10	35	60	10	41	71	1700	1800	2300	4	6	4	7	5	9	1	1	3	fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																						fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																					fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2																					rat	bat			30	30							0	8	255	Jail Level 3	To The Jail Level 3	EnteringTheJailLevel3	51	15	3	0	0	0	0	0	15	50	55	0	0	0	0	0	Act 1 - Jail
Act 1 - Courtyard 2	Inner Cloister	32	0	0			0	18	20	18	20	18	20	4000	1000	0	1	0	0	0	1	1	1	0	0	2	6	-1	-1	-1	-1	31	33	0	0	0	0	0	0	14	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	10	35	60	10	41	72	1600	1800	2200	1	2	2	3	3	3	1	0	3	fallen4	cr_archer4	skmage_ltng2																								fallen4	cr_archer4	skmage_ltng2																							fallen4	cr_archer4	skmage_ltng2																																			0	7	6	Inner Cloister	To The Inner Cloister	EnteringTheInnerCloister	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Inner Cloister
Act 1 - Cathedral	Cathedral	33	0	0			0	28	34	28	34	28	34	-4	-34	32	1	0	0	0	1	1	1	0	1	2	9	-1	-1	-1	-1	32	35	0	0	0	0	0	0	-1	15	-1	-1	-1	-1	-1	-1	0	255	255	255	1	0	1	0	2025	11	36	61	11	42	72	1600	1850	2000	3	4	4	6	6	8	1	0	3	bighead2	wraith2	fallenshaman4																								bighead2	wraith2	fallenshaman4																							bighead2	wraith2	fallenshaman4																							rat	bat			30	30							0	9	255	Cathedral	To The Cathedral	EnteringTheCathedral	16	3	50	17	0	0	0	0	35	45	3	3	0	0	0	0	Act 1 - Cathedral
Unused34	Catacombs Level 1	34	0	0			21	200	200	200	200	200	200	4500	1000	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	30	36	0	0	0	0	0	0	16	18	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	11	36	61	11	42	72	1360	1360	1360	2	3	5	6	7	9	1	0	3	bighead2	fallenshaman4	fetish1																								bighead2	fallenshaman4	fetish1																							bighead2	fallenshaman4	fetish1																							rat	bat			30	30							60	10	255	Catacombs Level 1	To The Catacombs Level 1	EnteringTheCatacombsLevel1	16	3	14	17	0	0	0	0	40	45	15	3	0	0	0	0	Act 1 - Catacombs
Act 1 - Catacombs 2	Catacombs Level 2	35	0	0			22	200	200	200	200	200	200	4500	1300	0	1	0	0	0	1	1	1	0	1	1	10	-1	-1	-1	-1	33	37	0	0	0	0	0	0	17	18	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	11	36	61	11	42	73	1600	1850	2400	3	7	5	8	7	10	1	0	3	bighead2	fallenshaman4	arach1																								bighead2	fallenshaman4	arach1																							bighead2	fallenshaman4	arach1																							rat	bat			30	30							60	10	7	Catacombs Level 2	To The Catacombs Level 2	EnteringTheCatacombsLevel2	16	3	14	17	0	0	0	0	45	45	17	3	0	0	0	0	Act 1 - Catacombs
